"Id","Title","Body","Label"
"1","atom --wait works only after closing the window, not just the file tab","<!--

Have you read Atom's Code of Conduct? By filing an Issue, you are expected to comply with it, including treating everyone with respect: https://github.com/atom/.github/blob/master/CODE_OF_CONDUCT.md

Do you want to ask a question? Are you looking for support? The Atom message board is the best place for getting support: https://discuss.atom.io

-->

### Prerequisites

* [x] Put an X between the brackets on this line if you have done all of the following:
    * Reproduced the problem in Safe Mode: <https://flight-manual.atom.io/hacking-atom/sections/debugging/#using-safe-mode>
    * Followed all applicable steps in the debugging guide: <https://flight-manual.atom.io/hacking-atom/sections/debugging/>
    * Checked the FAQs on the message board for common solutions: <https://discuss.atom.io/c/faq>
    * Checked that your issue isn't already filed: <https://github.com/issues?utf8=✓&q=is%3Aissue+user%3Aatom>
    * Checked that there is not already an Atom package that provides the described functionality: <https://atom.io/packages>

### Description

<!-- Description of the issue -->

I have always had `git config core.editor` set to `atom --wait`.
_NOTE:_ This also happens if I set the config to `atom --wait --safe`.

This issue appeared after I upgraded from version **1.36.0** to **1.40.1**

An old closed issue that might be related to this one: #16740

### Steps to Reproduce

1. Open the project folder in Atom.
2. Edit files and run `git commit`.
3. Because the project folder is already opened in Atom, the `COMMIT_EDITMSG` file is opened in a new tab in the existing window.
4. Write message and save.

_NOTE:_ Of course this also happens for `git rebase -i` and any other git operations that require input from the editor.

**Expected behavior:**

<!-- What you expect to happen -->

After closing the file tab the commit should finalize.

**Actual behavior:**

<!-- What actually happens -->

You need to close the window for the commit to finalize.

**Reproduces how often:**

<!-- What percentage of the time does it reproduce? -->

100% of the time.

### Versions

<!-- You can get this information from copy and pasting the output of `atom --version` and `apm --version` from the command line. Also, please include the OS and what version of the OS you're running. -->

```
Atom    : 1.40.1
Electron: 3.1.10
Chrome  : 66.0.3359.181
Node    : 10.2.0

git version 2.21.0.windows.1

Windows 10 Enterprise 64bit
```

### Additional Information

<!-- Any additional information, configuration or data that might be necessary to reproduce the issue. -->

Demo:

![atom--wait_issue](https://user-images.githubusercontent.com/3825876/63950139-1fd41f80-ca84-11e9-99ae-b66a191ca56d.gif)","bug"
"2","Prompts for restart when certain core settings aren't default","<!--

Have you read Atom's Code of Conduct? By filing an Issue, you are expected to comply with it, including treating everyone with respect: https://github.com/atom/atom/blob/master/CODE_OF_CONDUCT.md

Do you want to ask a question? Are you looking for support? The Atom message board is the best place for getting support: https://discuss.atom.io

-->

### Prerequisites

* [x] Put an X between the brackets on this line if you have done all of the following:
    * Reproduced the problem in Safe Mode: https://flight-manual.atom.io/hacking-atom/sections/debugging/#using-safe-mode
    * Followed all applicable steps in the debugging guide: https://flight-manual.atom.io/hacking-atom/sections/debugging/
    * Checked the FAQs on the message board for common solutions: https://discuss.atom.io/c/faq
    * Checked that your issue isn't already filed: https://github.com/issues?utf8=✓&q=is%3Aissue+user%3Aatom
    * Checked that there is not already an Atom package that provides the described functionality: https://atom.io/packages

### Description

If one of the core setting that are configured to prompt for a restart are changed from their default value then Atom will prompt for a restart every time it starts up.

### Steps to Reproduce

1. Change a core setting from [the following list](https://github.com/atom/atom/blob/b79d9088e21970f0dd1d05ed0e2a27765d4b6dd4/src/main-process/atom-application.js#L283-L285) to a non-default value:
    * `core.titleBar`
    * `core.colorProfile`
    * `core.fileSystemWatcher`
2. Restart Atom

**Expected behavior:** [What you expect to happen]
No prompt to restart Atom on launch.

**Actual behavior:** [What actually happens]
Prompts to restart Atom on _every_ launch, regardless of how many times you restart it.

**Reproduces how often:** [What percentage of the time does it reproduce?]
100% of the time.

### Versions

OS: Windows 10 x64
```
Atom    : 1.39.0-nightly2
Electron: 2.0.18
Chrome  : 61.0.3163.100
Node    : 8.9.3
apm  2.1.7
npm  6.2.0
node 8.9.3 x64
atom 1.39.0-nightly2
python 2.7.15
git 2.19.1.windows.1
visual studio 2015
```

### Additional Information

N/A
","bug"
"3","Atom 1.39.0-nightly1 fails to open","### Description

With the latest Atom Nightly build (1.39.0-nightly1), Atom fails to open

### Steps to Reproduce

1. Attempt to launch Atom from the command line:
    `atom-nightly --safe --foreground`

**Expected behavior:** Atom opens without any errors

**Actual behavior:** Command line shows errors and no Atom window is shown:

```
2019-05-13 09:42:45.823 Atom Nightly[67481:723155] Arguments to CompositeDisposable.add must have a .dispose() method
2019-05-13 09:42:45.824 Atom Nightly[67481:723155] TypeError: Arguments to CompositeDisposable.add must have a .dispose() method
    at assertDisposable (/Applications/Atom Nightly.app/Contents/Resources/app.asar/node_modules/event-kit/dist/composite-disposable.js:162:11)
    at CompositeDisposable.add (/Applications/Atom Nightly.app/Contents/Resources/app.asar/node_modules/event-kit/dist/composite-disposable.js:106:13)
    at AtomApplication.launch (/Applications/Atom Nightly.app/Contents/Resources/app.asar/src/main-process/atom-application.js:281:25)
    at <anonymous>:null:null
```

**Reproduces how often:** 100%

### Versions

macOS 10.14.4

```
$ atom-nightly --version
Atom    : 1.39.0-nightly1
Electron: 2.0.18
Chrome  : 61.0.3163.100
Node    : 8.9.3
```
","bug"
"4","[WSL] atom.sh assumes default root automount","<!--

Have you read Atom's Code of Conduct? By filing an Issue, you are expected to comply with it, including treating everyone with respect: https://github.com/atom/atom/blob/master/CODE_OF_CONDUCT.md

Do you want to ask a question? Are you looking for support? The Atom message board is the best place for getting support: https://discuss.atom.io

-->

### Prerequisites

* [ ] Put an X between the brackets on this line if you have done all of the following:
    * n/a Reproduced the problem in Safe Mode: https://flight-manual.atom.io/hacking-atom/sections/debugging/#using-safe-mode
    * n/a Followed all applicable steps in the debugging guide: https://flight-manual.atom.io/hacking-atom/sections/debugging/
    * X Checked the FAQs on the message board for common solutions: https://discuss.atom.io/c/faq
    * X Checked that your issue isn't already filed: https://github.com/issues?utf8=✓&q=is%3Aissue+user%3Aatom
    * n/a Checked that there is not already an Atom package that provides the described functionality: https://atom.io/packages

### Description

If I mount C: at /c, running `atom` in WSL won't load Atom:

```
$ findmnt --source C:
TARGET SOURCE FSTYPE OPTIONS
/c     C:     drvfs  rw,noatime,uid=1000,gid=1000,umask=22,fmask=11,metadata,case=off
$ atom
The system cannot find the path specified.
```

`atom.sh` sets $root; It doesn't use it when setting $ATOMCMD, though:

https://github.com/atom/atom/blob/c5ebfbddd096a24bb99b832432a5dfcd67da4714/resources/win/atom.sh#L8-L15

To me this seems like https://github.com/atom/atom/issues/17794, but it's happening with Ubuntu 18.04 on WSL with Windows 10 (1809) and Atom 1.36.1.

### Steps to Reproduce

1. On Windows 10 (1809): Enable WSL, install Atom, install Ubuntu.
2. In Ubuntu on WSL, configure `/etc/wsl.conf` to mount root at /:
    ```
    [automount]
    root = /
    ```
3. Exit Ubuntu, run Ubuntu again, and run `atom`:
    ```
    atom
    ```

**Expected behavior:** Atom should open.
**Actual behavior:**

```
$ atom
The system cannot find the path specified.
```

**Reproduces how often:** 100%

### Versions

You can get this information from copy and pasting the output of `atom --version` and `apm --version` from the command line. Also, please include the OS and what version of the OS you're running.

Windows 10 (1809), Ubuntu 18.04:
```
$ systeminfo.exe | grep -E '^OS (Name|Version)'
OS Name:                   Microsoft Windows 10 Pro
OS Version:                10.0.17763 N/A Build 17763
$ grep ^VERSION= /etc/os-release
VERSION=""18.04.2 LTS (Bionic Beaver)""
$ uname -r -o
4.4.0-17763-Microsoft GNU/Linux
```

Atom 1.36.1:
```
C:\Users\Solvaholic>atom --version

Atom    : 1.36.1
Electron: 2.0.18
Chrome  : 61.0.3163.100
Node    : 8.9.3

C:\Users\Solvaholic>apm --version
apm  2.1.3
npm  6.2.0
node 8.9.3 x64
atom 1.36.1
python 3.7.1
git 2.21.0.windows.1
visual studio
```

### Additional Information

This issue is just about _opening_ Atom using the built-in methods. With a fresh install of the Ubuntu app (no custom aliases or functions) and current default Windows / WSL (appends Windows %Path% to Linux $PATH), running `atom` in Linux will run `%LOCALAPPDATA%\atom\bin\atom` in your Windows user's home directory. That script calls your current Atom version's `atom.sh`:

```
$ cat $(which atom)
#!/bin/sh
""$(dirname ""$0"")/../app-1.36.1/resources/cli/atom.sh"" ""$@""
```

Other issues related to running Atom from Linux/WSL, like path availability or translation, are outside the scope of this issue.","bug"
"5","Opens new (duplicate) windows for already-open projects","### Description

If you launch Atom from the command line multiple times in the same directory, it should re-use the same Atom window each time.

### Steps to Reproduce

1. Open a directory with Atom (e.g., `atom /path/to/directory`)
2. Open the same directory with Atom a second time (e.g., `atom /path/to/directory`)

**Expected behavior:** One Atom window should be open showing files for the directory

**Actual behavior:** Two Atom windows are open showing files for the directory

**Reproduces how often:** 100%

### Versions

macOS 10.14.3

```
$ atom-nightly --version
Atom    : 1.37.0-nightly15
Electron: 2.0.18
Chrome  : 61.0.3163.100
Node    : 8.9.3

$ apm-nightly --version
apm  2.1.3
npm  6.2.0
node 8.9.3 x64
atom 1.37.0-nightly15
python 2.7.15
git 2.21.0
```

### Additional Information

This also causes Atom to open a new window when you're using Atom as your Git commit editor. As a result, we lose the [performance benefits introduced in Atom 1.25](https://blog.atom.io/2018/03/15/atom-1-25.html#performance-and-responsiveness) for people wanting to use Atom as their Git commit editor.
","bug"
"6","Scrollbars don't disappear on macOS","<!--

Have you read Atom's Code of Conduct? By filing an Issue, you are expected to comply with it, including treating everyone with respect: https://github.com/atom/atom/blob/master/CODE_OF_CONDUCT.md

Do you want to ask a question? Are you looking for support? The Atom message board is the best place for getting support: https://discuss.atom.io

-->

### Prerequisites

* [x] Put an X between the brackets on this line if you have done all of the following:
    * Reproduced the problem in Safe Mode: https://flight-manual.atom.io/hacking-atom/sections/debugging/#using-safe-mode
    * Followed all applicable steps in the debugging guide: https://flight-manual.atom.io/hacking-atom/sections/debugging/
    * Checked the FAQs on the message board for common solutions: https://discuss.atom.io/c/faq
    * Checked that your issue isn't already filed: https://github.com/issues?utf8=✓&q=is%3Aissue+user%3Aatom
    * Checked that there is not already an Atom package that provides the described functionality: https://atom.io/packages

### Description

Scrollbars don't disappear after scrolling stopped.

### Steps to Reproduce

1. Make sure that in macOS's ""General"" settings, the ""Show scroll bars"" is set to ""Automatically"" or ""When scrolling"".
2. Open Atom's ""About"" page
3. Resize the window so that a scrollbar appears

**Expected behavior:** 

The scrollbar disappears when not scrolling.

**Actual behavior:**

The scrollbar stays visible.

**Reproduces how often:**

100%. But not in all locations. For example the editor and tree-view is fine.

![scrollbar](https://user-images.githubusercontent.com/378023/53077685-ebf8ca00-3535-11e9-9376-d89331536821.gif)


### Versions

You can get this information from copy and pasting the output of `atom --version` and `apm --version` from the command line. Also, please include the OS and what version of the OS you're running.

```
macOS: Mojave 10.14.2 (18C54)

Atom    : 1.37.0-dev-41a180b9d
Electron: 3.1.3
Chrome  : 66.0.3359.181
Node    : 10.2.0

apm  2.1.3
npm  6.2.0
node 8.9.3 x64
atom 1.37.0-dev-41a180b9d
python 2.7.10
git 2.20.1
```

### Additional Information

Something interesting: It also happens in the DevTools. Which makes me think it's Electron 3/Chromium related?

![scrollbar-devtools](https://user-images.githubusercontent.com/378023/53077902-67f31200-3536-11e9-836e-02678a1be57d.gif)
","bug"
"7","[Atom 1.32.0] Missing documentation","With release 1.32.0, suddenly documentation for some classes is missing. Particularly, for event-kit classes and for `TextBuffer`

-  `CompositeDisposable`
https://atom.io/docs/api/v1.31.2/CompositeDisposable (ok) 
https://atom.io/docs/api/v1.32.0/CompositeDisposable (error 404)
-  `Disposable`
https://atom.io/docs/api/v1.31.2/Disposable (ok)
https://atom.io/docs/api/v1.32.0/Disposable (error 404)
-  `Emitter`
https://atom.io/docs/api/v1.31.2/Emitter (ok)
https://atom.io/docs/api/v1.32.0/Emitter (error 404)
-  `TextBuffer`
https://atom.io/docs/api/v1.31.2/TextBuffer (ok)
https://atom.io/docs/api/v1.32.0/TextBuffer (error 404)

It would appear that the recent conversion to JavaScript is the culprit, but I can't say why exactly this is.","bug"
"8","Recognize grammar abbreviations in Grammar selector","_From @MoritzKn on January 4, 2018 23:24_

### Prerequisites
* [ ] Put an X between the brackets on this line if you have done all of the following:
    * Reproduced the problem in Safe Mode: http://flight-manual.atom.io/hacking-atom/sections/debugging/#using-safe-mode
    * Followed all applicable steps in the debugging guide: http://flight-manual.atom.io/hacking-atom/sections/debugging/
    * Checked the FAQs on the message board for common solutions: https://discuss.atom.io/c/faq
    * Checked that your issue isn't already filed: https://github.com/issues?utf8=✓&q=is%3Aissue+user%3Aatom
    * Checked that there is not already an Atom package that provides the described functionality: https://atom.io/packages

### Description

It would be great if the ordering would be influenced by abbreviations. 

### Steps to Reproduce

1. <kbd>ctrl</kbd><kbd>shift</kbd>+<kbd>L</kbd>
2. enter `js`

**Expected behavior:**
E.g. if I enter `js` I would expect Java Script to be the first result since it's an exact abbreviation. I would expect this for other abbreviations too.

**Actual behavior:**
I get the following grammars:
1. `JSON`
2. `JSDoc`
3. `JSON (Twig)`
4. `Java Properties`
5. `Javascript (Twig)`
6. `JUnit Test Report`
7. `JavaScript`

I could understand if it were on the 4th place since the 1st to 3rd places match on the beginning.
However I would prefer if abbreviations would be rated just a little less then a full match.

**Reproduces how often:**
100%

### Versions
`$ atom --version`
```
Atom    : 1.23.1
Electron: 1.6.15
Chrome  : 56.0.2924.87
Node    : 7.4.0
```

`$  apm --version`
```
apm  1.18.11
npm  3.10.10
node 6.9.5 x64
atom 1.23.1
python 3.6.4
git 2.15.1
```

 `$ uname -a`  (OS)
```
Linux arch-pc 4.14.10-1-ARCH #1 SMP PREEMPT Fri Dec 29 20:17:35 UTC 2017 x86_64 GNU/Linux
```
  

_Copied from original issue: atom/grammar-selector#53_","enhancement"
"9","Uncaught TypeError: Cannot read property 'length' of undefined","*@priyankvex commented on Jan 24, 2015, 7:48 AM UTC:*

[Enter steps to reproduce below:]

1.  ...
2.  ...

**Atom Version**: 0.175.0
**System**: linux 3.13.0-44-generic
**Thrown From**: [go-to-line](https://github.com/atom/go-to-line) package, v0.30.0

### Stack Trace

Uncaught TypeError: Cannot read property 'length' of undefined

```
At /usr/share/atom/resources/app/node_modules/text-buffer/lib/text-buffer.js:391

TypeError: Cannot read property 'length' of undefined
  at TextBuffer.module.exports.TextBuffer.lineLengthForRow (/usr/share/atom/resources/app/node_modules/text-buffer/lib/text-buffer.js:391:29)
  at TextBuffer.module.exports.TextBuffer.clipPosition (/usr/share/atom/resources/app/node_modules/text-buffer/lib/text-buffer.js:943:53)
  at DisplayBuffer.module.exports.DisplayBuffer.screenPositionForBufferPosition (/usr/share/atom/resources/app/src/display-buffer.js:1009:27)
  at DisplayBuffer.module.exports.DisplayBuffer.scrollToBufferPosition (/usr/share/atom/resources/app/src/display-buffer.js:661:47)
  at TextEditor.module.exports.TextEditor.scrollToBufferPosition (/usr/share/atom/resources/app/src/text-editor.js:2670:33)
  at GoToLineView.module.exports.GoToLineView.confirm (/usr/share/atom/resources/app/node_modules/go-to-line/lib/go-to-line-view.js:116:14)
  at atom-text-editor.<anonymous> (/usr/share/atom/resources/app/node_modules/go-to-line/lib/go-to-line-view.js:55:24)
  at CommandRegistry.module.exports.CommandRegistry.handleCommandEvent (/usr/share/atom/resources/app/src/command-registry.js:243:29)
  at /usr/share/atom/resources/app/src/command-registry.js:3:61
  at KeymapManager.module.exports.KeymapManager.dispatchCommandEvent (/usr/share/atom/resources/app/node_modules/atom-keymap/lib/keymap-manager.js:558:16)
  at KeymapManager.module.exports.KeymapManager.handleKeyboardEvent (/usr/share/atom/resources/app/node_modules/atom-keymap/lib/keymap-manager.js:396:22)
  at HTMLDocument.module.exports.WindowEventHandler.onKeydown (/usr/share/atom/resources/app/src/window-event-handler.js:170:20)

```

### Commands

```
     -30:09.2 core:cancel (atom-text-editor.editor.mini)
     -30:05.4 application:new-file (atom-pane.pane.active.with-minimap)
     -30:03.5 go-to-line:toggle (atom-text-editor.editor.is-focused)
     -30:03.5 core:paste (atom-text-editor.editor.mini)
     -30:00.0 core:confirm (atom-text-editor.editor.mini)

```

### Config

```json
{
  ""core"": {}
}
```

### Installed Packages

```coffee
# User
minimap, v3.5.6

# Dev
No dev packages
```

/cc @atom/core

*This issue was moved by [daviwil](https://github.com/daviwil) from [atom/go-to-line#19](https://github.com/atom/go-to-line/issues/19).*","bug"
"10","Dont wait till user presses Enter button","*@ankithherle commented on Oct 23, 2015, 4:29 AM UTC:*

I am new to Atom ( i am shifting from `sublime-text` to `Atom`)
Goto line package in Atom is waiting for user to press enter, but i think it should goto line as user types a number (as there its in sublime text). If an user wants to goto line `812` as user enters `8` editor should goto line `8` and next when `1` is pressed it should goto line # `81` etc.

*This issue was moved by [daviwil](https://github.com/daviwil) from [atom/go-to-line#26](https://github.com/atom/go-to-line/issues/26).*","enhancement"
