@relation Issues

@attribute Id string
@attribute Title string
@attribute Body string
@attribute Label {'',electron-4,electron,more-information-needed,mac,uncaught-exception,linux,packages/solarized-dark-syntax,network,'d â¬‡ï¸?','i â¬‡ï¸?',triaged,'v â¬‡ï¸?','d â¬†ï¸?',tree-sitter,auto-updater,regression,windows,packages/one-dark-ui,packages/one-light-ui,iteration-plan,packages/go-to-line,electron-3,'v â¬†ï¸?','FY2019Q5 atom perf','i â¬†ï¸?',crash,'FY2019Q5 deterministic builds',installer,startup-time,needs-reproduction,build-error,editor-rendering,blocked,git,package-migration,packages/grammar-selector,stale,packages/dalek,ui,papercut,atom.io,data-loss,proposal,documentation,help-wanted,performance,error-from-save,question,auto-indent,i18n}

@data
1,'module register','module register module register module dlopen object module internal cjs loader object module module load internal cjs loader trymoduleload internal cjs loader module load internal cjs loader module require require internal cjs helpers customrequire keyboardlayoutmanager manager object getcurrentkeyboardlayout keystrokeforkeyboardevent keystrokeforkeyboardevent handlekeyboardevent handledocumentkeyevent toggle',''
2,'catalina notarization','taking quick notarized notarization malware scanning notarizing practice notarized notarized md5 622281426390b6649dee88807b5a1434 rules stricter january workflows xcrun altool appleid password asc provider teamid notarize downloads id xcrun altool appleid password asc provider teamid notarization info guuid staple',''
3,opening,'big 500mb',''
4,'module register','module register module register module dlopen object module internal cjs loader object module module load internal cjs loader trymoduleload internal cjs loader module load internal cjs loader module require require internal cjs helpers customrequire keyboardlayoutmanager manager object getcurrentkeyboardlayout keystrokeforkeyboardevent keystrokeforkeyboardevent handlekeyboardevent handledocumentkeyevent',''
5,'module register','module register module register module dlopen object module internal cjs loader object module module load internal cjs loader trymoduleload internal cjs loader module load internal cjs loader module require require internal cjs helpers customrequire keyboardlayoutmanager manager object getcurrentkeyboardlayout keystrokeforkeyboardevent keystrokeforkeyboardevent handlekeyboardevent handledocumentkeyevent picker korean minimap',''
6,'requested measurement component rendered','requested shresthr requested horizontalpositionstomeasure measurehorizontalpositions measurecontentduringupdatesync readdocument newline 70x 75x redo',''
7,'module register','module register module register module dlopen object module internal cjs loader object module module load internal cjs loader trymoduleload internal cjs loader module load internal cjs loader module require require internal cjs helpers customrequire keyboardlayoutmanager manager object getcurrentkeyboardlayout keystrokeforkeyboardevent keystrokeforkeyboardevent handlekeyboardevent handledocumentkeyevent li item div panel div panel',''
8,'module appdata local app res','module fake manager module fake manager module dlopen object module internal cjs loader object module module load internal cjs loader trymoduleload internal cjs loader module load internal cjs loader module require require internal cjs helpers customrequire keyboardlayoutmanager manager object getcurrentkeyboardlayout keystrokeforkeyboardevent keystrokeforkeyboardevent handlekeyboardevent handledocumentkeyevent',''
9,'module register','module register module register module dlopen object module internal cjs loader object module module load internal cjs loader trymoduleload internal cjs loader module load internal cjs loader module require require internal cjs helpers customrequire keyboardlayoutmanager manager object getcurrentkeyboardlayout keystrokeforkeyboardevent keystrokeforkeyboardevent handlekeyboardevent handledocumentkeyevent span ctags',''
10,'module usr share resources app asar unpacked modules fuzzy','module fuzzy native fuzzy native compiled module module module instance rebuild module fuzzy native fuzzy native compiled module module module instance rebuild module dlopen object module internal cjs loader object module module load internal cjs loader trymoduleload internal cjs loader module load internal cjs loader module require require fuzzy native fuzzy native module module object module load internal cjs loader trymoduleload internal cjs loader module load internal cjs loader module require require internal cjs helpers customrequire nativefuzzy fuzzyfinderview observekeypath fuzzyfinderview projectview object createprojectview fuzzy toggle handlekeyboardevent handledocumentkeyevent newline fuzzy toggle wordcount chktex gcc pycodestyle shellcheck minimap minimap cursorline minimap minimap wordcount',''
11,'module register','module register module register module dlopen object module internal cjs loader object module module load internal cjs loader trymoduleload internal cjs loader module load internal cjs loader module require require internal cjs helpers customrequire keyboardlayoutmanager manager object getcurrentkeyboardlayout keystrokeforkeyboardevent keystrokeforkeyboardevent handlekeyboardevent handledocumentkeyevent div span',''
12,null,'eslintrc explosion submitting scenario treesitterlanguagemode tokenforposition tokenforbufferposition object linkatposition object linkundercursor object openlink commanddisposable handlekeyboardevent handledocumentkeyevent newline emacs kill yarn jedi cargo emacs hyperclick rust hyperclick gradle groovy rust scss shellcheck history racer toggle',''
13,'white top app','border widely discussed border fullscreen ðº ðºñ bda42f00 f66e 8fb4 4590dc06822e border frameless',''
14,'enoent lstat downloads','delano downloads delano downloads realpathsync realpathsync treeview moveentry treeview ondrop li item picker',''
15,'difference ready usage','opinion 8161d600 f650 64278529d014 capabilities roughly wlan usage f651 7344ddc61c8f vertical 3s edge approximately edge perceived substantially gap measures perceived speed',''
16,'module register','module register module register module dlopen object module internal cjs loader object module module load internal cjs loader trymoduleload internal cjs loader module load internal cjs loader module require require internal cjs helpers customrequire keyboardlayoutmanager manager object getcurrentkeyboardlayout keystrokeforkeyboardevent keystrokeforkeyboardevent handlekeyboardevent handledocumentkeyevent manager span roku rokudeploy div panel roku',''
17,'enoent lstat onedrive qouittows front kb kb','onedrive qouittows front kb kb kb kb kb kb steven richard gierke notebook onedrive qouittows front kb kb kb kb kb kb steven richard gierke notebook realpathsync realpathsync treeview moveentry treeview ondrop',''
18,thin,'thins harder thinner critical aspect',electron-4
19,'module register','module register module register module dlopen object module internal cjs loader object module module load internal cjs loader trymoduleload internal cjs loader module load internal cjs loader module require require internal cjs helpers customrequire keyboardlayoutmanager manager object getcurrentkeyboardlayout keystrokeforkeyboardevent keystrokeforkeyboardevent handlekeyboardevent handledocumentkeyevent div panel notification native ternjs docblockr ftp hyperclick manager ftp',''
20,'module register','module register module register module dlopen object module internal cjs loader object module module load internal cjs loader trymoduleload internal cjs loader module load internal cjs loader module require require internal cjs helpers customrequire keyboardlayoutmanager manager object getcurrentkeyboardlayout keystrokeforkeyboardevent keystrokeforkeyboardevent handlekeyboardevent handledocumentkeyevent li item',''
21,'module register','module register module register module dlopen object module internal cjs loader object module module load internal cjs loader trymoduleload internal cjs loader module load internal cjs loader module require require internal cjs helpers customrequire keyboardlayoutmanager manager object getcurrentkeyboardlayout keystrokeforkeyboardevent keystrokeforkeyboardevent handlekeyboardevent handledocumentkeyevent ftp toggle dark dark ftp connect dark dark ftp connect dark dark acf wordpress wordpress hooks minimap minimap ftp ftp wordpress wordpress dictionary',''
22,'','',electron
23,'','',more-information-needed
24,compose,'putting funk compose instruction released worker deserialize compose',more-information-needed
25,'incredibly long shell load','incredibly slowly load taking 4000ms nap exercise finally timings load 1000ms load 4000ms processor 7700hq ram 16gb',''
26,crashing,'duplicating renaming toggling macbook air 19a602 2e9076cd 6c0e 38b6 b2ddce125fbf 0x89 interacting renaming duplicating ect interact interacting interacting',mac
27,'','suddenly idk',more-information-needed
28,'','',more-information-needed
29,'','pane appdata pane pane appdata notificationelement appdata notificationelement appdata notificationelement appdata appdata',uncaught-exception
30,'','quits yields',more-information-needed
31,'','',linux
32,'','',more-information-needed
33,'','',more-information-needed
34,'','private apptranslocation private apptranslocation private apptranslocation private apptranslocation private apptranslocation private apptranslocation private apptranslocation private apptranslocation private apptranslocation private apptranslocation',uncaught-exception
35,'solarized js original solarized spec','solaried a19fe880 e51b 9a1b049bed47 altercation solarized b5138800 e5dd eb185a9667c6 solarized solarized solarized',packages/solarized-dark-syntax
36,'interferes skype','skype troublemaker posted skype answers skype forum sk acc sk sk skype founds devices 6465d2a1 032d ac18 b374e4e81323 skype skype speaker microphone camera 28d96600 e4f4 9a1b a3217bd3e125 skype devices e4f4 89a3 07114386d9d0 skype devices remain skype skype skype devices skype defices skype communicate speaker microphone skype tiny person glad skype screencast 622ac980 e526 a077f9763b4a',''
37,'message pops','pop c440eb80 e4a0 d10ac1ed3402 d28f0780 e4a0 347ce6da7b15 pop 171aa300 e4a1 8da6 88166c8ef7d9 197cfd00 e4a1 8b35 425a1a7089f5 1bdf5700 e4a1 8f5c 5d39d232da35 pop onchange 19a558d',more-information-needed
38,'','',network
39,read,'',uncaught-exception
40,'','','d â¬‡ï¸?'
41,'','','i â¬‡ï¸?'
42,'','guide run copied git',triaged
43,'','','v â¬‡ï¸?'
44,'','',network
45,'','',uncaught-exception
46,'','','d â¬†ï¸?'
47,'','','i â¬‡ï¸?'
48,'','','v â¬‡ï¸?'
49,previously,'snappier workplace homegrown scm guys ideas doskey 3773d900 e02d 85dd ed4b07ff5879 locked locked topic saved state state ws cbu1 2019x lap ws cbu1 2019x lap ws cbu1 2019x lap ws cbu1 2019x lap ws cbu1 2019x lap links cbu1 links cbu1 links',''
50,'','',more-information-needed
51,invalid,'texteditorcomponent texteditorcomponent updatesyncbeforemeasuringcontent texteditorcomponent updatesync server browser',uncaught-exception
52,'undo redo leaks memory','periods duration days undoable actions upwards 1gb memory redo dealing killing kill memory leak racer cargo picker docblockr pegjs rust scala stylus webassembly assembly shellcheck tslint minimap minimap cursorline minimap minimap manager offenders iirc symptom persisted thousands optionally quick haven spending memory usage remain memory usage grows 500mb 1gb range keeping kill reclaim memory leaked haven suffering performance turned panics symptom machine absolutely atrocious minute range limited limited relevance',''
53,'','','d â¬†ï¸?'
54,'','','i â¬‡ï¸?'
55,'','',tree-sitter
56,'','guide git displayed bug',triaged
57,'','','v â¬‡ï¸?'
58,'typeerror function','utilizador appdata appdata appdata texteditorcomponent appdata texteditorcomponent updatesyncbeforemeasuringcontent appdata texteditorcomponent updatesync appdata appdata appdata textarea textarea ember daverona laravel daverona mellow daverona slime ember ember framer framer gibber gobbiegobgoo handsome hey pane ember detective julia junos julia juniper juniper junos junos sugar cube completions lime biber midnight owl moonlight rocket rubber ducky summer uber yuno zentabs',uncaught-exception
59,'','','d â¬†ï¸?'
60,'','','i â¬‡ï¸?'
61,'','','v â¬‡ï¸?'
62,put,'browser ja meta rel meta robots noarchive noimageindex meta viewport maximum scalable appdata oniguruma scanner appdata oniguruma scanner appdata appdata oniguruma scanner appdata oniguruma scanner appdata oniguruma oniguruma oniguruma oniguruma appdata appdata appdata appdata onigstring appdata nullgrammar appdata textmatelanguagemode buildtokenizedlineforrowwithtext appdata textmatelanguagemode suggestedindentforlineatbufferrow appdata appdata mutateselectedtext appdata getselectionsorderedbybufferposition appdata transact appdata transact appdata transact appdata pane pane pane pane converter',uncaught-exception
63,'','',auto-updater
64,'','','d â¬†ï¸?'
65,'','','i â¬‡ï¸?'
66,'','',regression
67,'','guide click folder folder menus disable folder disable',triaged
68,'','','v â¬‡ï¸?'
69,'','',windows
70,'','','d â¬†ï¸?'
71,'','','i â¬‡ï¸?'
72,'','',regression
73,'','guide run run git',triaged
74,'','','v â¬‡ï¸?'
75,'infinite copies fork bomb','today infinite copies stacked computer computer finally computer experiment state fork bomb finally ready killall fork bomb fork bombs 20160110ubuntu0 20160110ubuntu0 noarch printing 20160110ubuntu0 printing 20160110ubuntu0 noarch 20160110ubuntu0 20160110ubuntu0 noarch id codename',''
76,'eats ram releasing minutes','ram ram freed practical allowing saved greater 10mb practical performance ram equivalent load fills progressively ram sudden stabilize everytime applied family edition premium 8gb ram memory pentium g2020 syntactical coloration performance sudden filling ram',''
77,'installing godot support','lang gdscript gdscript wyjp48 qkzu lang gdscript gdscript prebuild gyp rebuild prebuild warn prebuilt binaries aborted dumped aborted dumped gyp require gyp load gyp gyp configure gyp gyp failed gyp childprocess oncpexit gyp configure gyp childprocess gyp childprocess onexit internal child gyp generic gyp gyp gyp rebuild gyp wyjp48 qkzu lang gdscript gdscript gyp v10 gyp gyp v3 gyp aborted dumped warn wyjp48 qkzu warn wyjp48 qkzu warn wyjp48 qkzu warn wyjp48 qkzu warn wyjp48 qkzu elifecycle errno gdscript prebuild gyp rebuild failed gdscript logs 25t16 655z lang gdscript sucessful',''
78,'','','d â¬†ï¸?'
79,'','','i â¬‡ï¸?'
80,'','',packages/one-dark-ui
81,'','',packages/one-light-ui
82,'','guide click folder click folder folder click folder click folder click folder folder folder',triaged
83,'','','v â¬‡ï¸?'
84,macros,'icue macros macro prnt begin itemize item itemize macro macro macro 25f15600 ba1a 905d 579e618717c1',''
85,'','','d â¬†ï¸?'
86,'','','i â¬‡ï¸?'
87,height,'',triaged
88,'','','v â¬‡ï¸?'
89,'','wheel till varies triggers',electron
90,'','','d â¬†ï¸?'
91,'','','i â¬‡ï¸?'
92,'','guide built folder git folder folder git git git git git git git git',triaged
93,'','','v â¬‡ï¸?'
94,'transpile ignores','transpiles transpile 1d9a4cafcf6cc288d675512db8fd984e13aab869 transpilation l99 l100 transpiled notfounderror typescriptsimple createservice typescriptsimple compilefileatpath atomtranspilers atomtranspilers glob transpile transpile transpilation',more-information-needed
95,'','',auto-updater
96,'','','d â¬†ï¸?'
97,'','','i â¬‡ï¸?'
98,'','guide run disable git',triaged
99,'','','v â¬‡ï¸?'
100,'','','d â¬†ï¸?'
101,'','','i â¬‡ï¸?'
102,'','',regression
103,'','guide folder git',triaged
104,'','','v â¬‡ï¸?'
