@relation Issues

@attribute Id string
@attribute Title string
@attribute Body string
@attribute Label {bug,enhancement}

@data
1,'wait works closing','read atom conduct filing issue expected comply including treating respect https atom blob master conduct md question support atom message board place support https discuss atom io prerequisites put brackets line reproduced problem safe mode https flight manual atom io hacking atom sections debugging safe mode applicable steps debugging guide https flight manual atom io hacking atom sections debugging checked faqs message board common solutions https discuss atom io faq checked issue isn filed https issues utf8 âœ 3aissue user 3aatom checked atom functionality https atom io description description issue git config core editor set atom wait note set config atom wait safe issue appeared upgraded version issue related steps reproduce open folder atom edit files run git commit folder atom commit editmsg file tab window write message save note git rebase git operations input editor expected behavior happen closing file tab commit finalize actual behavior close window commit finalize reproduces time reproduce time versions information copy pasting output atom version apm version command line include os version os running atom electron chrome node git version windows windows enterprise 64bit additional information additional information configuration reproduce issue demo atom wait issue https user images githubusercontent 1fd41f80 ca84 11e9 99ae b66a191ca56d gif',bug
3,'recognize grammar abbreviations grammar','moritzkn january great ordering influenced abbreviations script exact abbreviation abbreviations grammars json json twig properties twig junit 4th 1st 3rd prefer abbreviations rated pc preempt fri dec utc selector',enhancement
5,'customize presence absence final eol','mcandre commented feb utc proper final eol terminator crlf benefit final eol terminator client final eol absent concatenated formats makefile final eol terminator safeguard kinds surprises helpful ending selector offered manage choice crlf eol present eol absent eol sensitive terminator jasonrudolph jasonrudolph ending selector ending selector',enhancement
6,'intelligent mimetype','mcandre commented feb utc ending selector fairly flexible crlf ending specific profile ending specific crlf bat ps1 vbs cs ending format critical types preferential crlf specific py jasonrudolph jasonrudolph ending selector ending selector',enhancement
8,converting,'richyhbm commented oct utc great ability ending bellow batch alll jasonrudolph jasonrudolph ending selector ending selector',enhancement
9,'request package existing','tairun september cool checks seconds indicator searching online',enhancement
11,'reflowing jsdoc','slang800 constructor options passed cli manually nsync library sets schema properties transports options extend reflowed constructor options passed cli manually nsync library sets schema properties transports options extend great autoflow st2 ehuss reflows constructor options passed cli manually nsync library sets schema properties transports options extend autoflow',enhancement
13,'add support editorconfig','terrycloth march editorconfig editorconfig standardizing configurations editorconfig editorconfig editorconfig properties specific globbing patterns format helpful autoflow directive defines maximum editorconfig placement forcing maximum semantically autoflow directive determining rewrap autoflow autoflow',enhancement
14,'symlinks repository breaking diff','lucascosti february read atom conduct filing issue expected comply including treating respect https atom atom blob master conduct md question support atom message board place support https discuss atom io prerequisites put brackets line reproduced problem safe mode http flight manual atom io hacking atom sections debugging safe mode applicable steps debugging guide http flight manual atom io hacking atom sections debugging checked faqs message board common solutions https discuss atom io faq checked issue isn filed https issues utf8 âœ 3aissue user 3aatom checked atom functionality https atom io description repo symlinks repo repo docs œâ topics installguide topics topics repo docs installguide topics repo docs topics open file symlinked directory repo docs installguide topics git diff line marking gutter file longer works open file repo docs topics git diff line marking gutter started breaking installed issue directory structure working fine git diff week versions os atom version atom electron chrome node apm version apm npm node x64 python git issue atom git diff',bug
16,ux,'summary ux aren requests negatively impact experience mind comment mind meant brainstorm focuses improve rfc wanting placement adjustment workaround removing feels tedious jump jump switcher2 switcher2 limit reference workaround options order chronological workaround seconds showing workaround directly discovery people instinctively realizing hasn priority workaround health abandoned maintained anymore usable installing workaround health polluted installing spelling workaround pollute prs workaround authors mis authors build components tooltip components styleguide styleguide checkbox inputs authors build great freedom consistency lacks workaround authors 3rd party library',enhancement
