@relation Issues

@attribute Title string
@attribute Body string
@attribute Label {bug,enhancement}

@data
'uncaught error call function getposition missing remote object 737error cal','enter steps reproduce atom x64 electron os ubuntu thrown atom core stack trace uncaught error call function getposition missing remote object error call function getposition missing remote object throwrpcerror usr share atom resources electron asar browser rpc server js eventemitter anonymous usr share atom resources electron asar browser rpc server js eventemitter emit events js webcontents anonymous usr share atom resources electron asar browser api web contents js webcontents emit events js usr share atom resources electron asar renderer api remote js error call function getposition missing remote object error call function getposition missing remote object throwrpcerror usr share atom resources electron asar browser rpc server js eventemitter anonymous usr share atom resources electron asar browser rpc server js eventemitter emit events js webcontents anonymous usr share atom resources electron asar browser api web contents js webcontents emit events js metatoexception usr share atom resources electron asar renderer api remote js object exception usr share atom resources electron asar renderer api remote js metatovalue usr share atom resources electron asar renderer api remote js object remotememberfunction usr share atom resources electron asar renderer api remote js atomenvironment getwindowdimensions usr share atom resources app static embedded atomenvironment storewindowdimensions usr share atom resources app static embedded windoweventhandler handlewindowblur usr share atom resources app static embedded commands 2x editor newline input hidden input core backspace input hidden input core paste div line cursor line 5x core undo input hidden input core redo input hidden input 10x core undo input hidden input core copy span syntax entity syntax syntax attribute 2x editor newline input hidden input core paste div line cursor line editor indent selected rows input hidden input 9x core backspace input hidden input core move left input hidden input core backspace input hidden input core cut span syntax support syntax type syntax property syntax css tree view remove span icon icon file text core backspace input hidden input core packages atom beautify autocomplete autocomplete modules autocomplete paths autosave onchange busy signal tag emmet goto definition highlight selected intentions language babel linter linter eslint linter ui default pigments platformio ide terminal prettier atom',bug
'automatically add atom dev resource path bashrc','read atom code conduct filing issue expected comply including treating respect https github atom github blob master code conduct md question support atom message board place support https discuss atom io mind atom highly customizable number ways strongly prefer options filing issue https flight manual atom io atom sections basic customization tweak atom configuration styles keybindings https flight manual atom io atom sections atom packages install community package https flight manual atom io hacking atom atom api init script create package enhance existing package convinced options feature explain case filling issue template note atom team finite resources work feature requests interested feature follow submit rfc talk detail summary paragraph explanation feature adding option script bootstrap command automatically add atom dev resource path bashrc file linux avoid export path manually adding optional argument script bootstrap command save path argument script behaves cases support expected outcome install atom sources ran lot errors didn read documentation didn read bad made make installation autonomous step easy react considered clear concise description alternative solutions considered explain atom existing customizability isn suitable feature reading manual good solution easy implemented solution wanted share additional context add context screenshots feature request feature implemented https github geverartsdev atom commit 106eefe5105dc8650f6e7f44cb29f06fd7f0dc41 fork https github geverartsdev atom ready merged posting issue avoid skipping steps',bug
'uncaught error module found appdata local atom app res','enter steps reproduce atom x64 electron os microsoft windows home thrown atom core stack trace uncaught error module found users cameron appdata local atom app resources app asar unpacked node modules keyboard layout build release keyboard layout manager node electron asar js error module found users cameron appdata local atom app resources app asar unpacked node modules keyboard layout build release keyboard layout manager node process module anonymous function dlopen electron asar js object module extensions node internal modules cjs loader js object module anonymous function node electron asar js module load internal modules cjs loader js trymoduleload internal modules cjs loader js function module load internal modules cjs loader js module require app asar static index js require internal modules cjs helpers js customrequire appdata local atom app resources app static embedded keyboardlayoutmanager appdata local atom app resources app static embedded manager appdata local atom app resources app static embedded object getcurrentkeyboardlayout appdata local atom app resources app static embedded keystrokeforkeyboardevent appdata local atom app resources app static embedded keymapmanager keystrokeforkeyboardevent appdata local atom app resources app static embedded keymapmanager handlekeyboardevent appdata local atom app resources app static embedded windoweventhandler handledocumentkeyevent appdata local atom app resources app static embedded commands tree view add file span icon icon file directory tree view show current file file manager div line core packages atom discord autocomplete javascript autocomplete python autocomplete unity busy signal emmet file icons intentions linter linter ui default pigments script teletype',bug
'file contents loading','loading file main file pane shows false message file contents inaccurate informational point image https user images githubusercontent af82f000 15d6 11ea 9b36 2cf23f3622fd png loading file medium diff clicking file git tab package lock json small file slow computer message displayed long time long user contents file leave open file contents long extend tens minutes hours contents eventually informational message telling user opposite investigate long contents desired behavior loading pane loading file contents file loading conclusively found contents message change versions atom version atom electron chrome node apm version apm npm node x64 atom python git windows visual studio win10 pro',bug
'uncaught error call function getposition missing remote object 70error call','enter steps reproduce atom x64 electron os ubuntu thrown atom core stack trace uncaught error call function getposition missing remote object error call function getposition missing remote object throwrpcerror usr share atom resources electron asar browser rpc server js eventemitter anonymous usr share atom resources electron asar browser rpc server js eventemitter emit events js webcontents anonymous usr share atom resources electron asar browser api web contents js webcontents emit events js usr share atom resources electron asar renderer api remote js error call function getposition missing remote object error call function getposition missing remote object throwrpcerror usr share atom resources electron asar browser rpc server js eventemitter anonymous usr share atom resources electron asar browser rpc server js eventemitter emit events js webcontents anonymous usr share atom resources electron asar browser api web contents js webcontents emit events js metatoexception usr share atom resources electron asar renderer api remote js object exception usr share atom resources electron asar renderer api remote js metatovalue usr share atom resources electron asar renderer api remote js object remotememberfunction usr share atom resources electron asar renderer api remote js atomenvironment getwindowdimensions usr share atom resources app static embedded atomenvironment storewindowdimensions usr share atom resources app static embedded windoweventhandler handlewindowblur usr share atom resources app static embedded commands core backspace input hidden input core save input hidden input core packages highlight selected',bug
'uncaught error tunneling socket established statuscode','enter steps reproduce atom x64 electron os unknown windows version thrown atom core stack trace uncaught error tunneling socket established statuscode internal streams legacy js error tunneling socket established statuscode clientrequest onconnect app asar node modules tunnel agent index js object oncewrapper events js clientrequest emit events js socket socketondata http client js socket emit events js addchunk stream readable js readableaddchunk stream readable js socket readable push stream readable js tcp onstreamread onread internal stream base commons js commands command palette toggle atom pane pane active core move input hidden input core confirm input hidden input settings view open atom pane pane active core packages',bug
'uncaught error call function getposition missing remote object 5666error ca','enter steps reproduce installed git merge add merge local branch atom x64 electron os mac os thrown atom core stack trace uncaught error call function getposition missing remote object error call function getposition missing remote object throwrpcerror applications atom app contents resources electron asar browser rpc server js eventemitter anonymous applications atom app contents resources electron asar browser rpc server js eventemitter emit events js webcontents anonymous applications atom app contents resources electron asar browser api web contents js webcontents emit events js applications atom app contents resources electron asar renderer api remote js error call function getposition missing remote object error call function getposition missing remote object throwrpcerror applications atom app contents resources electron asar browser rpc server js eventemitter anonymous applications atom app contents resources electron asar browser rpc server js eventemitter emit events js webcontents anonymous applications atom app contents resources electron asar browser api web contents js webcontents emit events js metatoexception applications atom app contents resources electron asar renderer api remote js object exception applications atom app contents resources electron asar renderer api remote js metatovalue applications atom app contents resources electron asar renderer api remote js object remotememberfunction applications atom app contents resources electron asar renderer api remote js atomenvironment getwindowdimensions applications atom app contents resources app static embedded atomenvironment storewindowdimensions applications atom app contents resources app static embedded windoweventhandler handlewindowresize applications atom app contents resources app static embedded applications atom app contents resources app static embedded commands core packages autocomplete python busy signal compare files django templates docblock python file icons git merge git time machine highlight selected intentions language restructuredtext linter linter flake8 linter python pep8 linter ui default material colors minimap minimap highlight selected pandoc python autopep8 python debugger python indent python tools script split diff terminal',bug
'uncaught error enoent file directory lstat md','enter steps reproduce atom x64 electron os mac os thrown atom core stack trace uncaught error enoent file directory lstat md fs js error enoent file directory lstat md proxy realpathsync fs js proxy fs realpathsync electron asar js treeview moveentry applications atom app contents resources app static embedded treeview ondrop applications atom app contents resources app static embedded htmldivelement anonymous applications atom app contents resources app static embedded commands 5x core backspace input hidden input core copy input hidden input tree view move span icon icon file text core paste input hidden input core confirm input hidden input core move input hidden input core delete input hidden input core save input hidden input tree view add folder div tool panel tree view core confirm input hidden input tree view remove span icon icon file directory tree view add file div header list item core confirm input hidden input core save div tool panel tree view core packages git',bug
'add log output feature push fetch','read atom code conduct filing issue expected comply including treating respect https github atom github blob master code conduct md question support atom message board place support https discuss atom io mind atom highly customizable number ways strongly prefer options filing issue https flight manual atom io atom sections basic customization tweak atom configuration styles keybindings https flight manual atom io atom sections atom packages install community package https flight manual atom io hacking atom atom api init script create package enhance existing package convinced options feature explain case filling issue template note atom team finite resources work feature requests interested feature follow submit rfc talk detail summary paragraph explanation feature add log output feature button push fetch javascript ecosystem common add git hooks ensure code consistency pushing validate code style rules eslint prettier run unit test suite generate code coverage report build project run e2e tests pulling check important files changed package json check work files changed generate logs analyzed success failure access atom cases support expected outcome considered clear concise description alternative solutions considered explain atom existing customizability isn suitable feature additional context nasty push commit code intercepted git hook error log popup great job add context screenshots feature request',bug
'uncaught error module found appdata local atom app res','enter steps reproduce atom x64 electron os microsoft windows professional thrown atom core stack trace uncaught error module found users user appdata local atom app resources app asar unpacked node modules keyboard layout build release keyboard layout manager node electron asar js error module found users user appdata local atom app resources app asar unpacked node modules keyboard layout build release keyboard layout manager node process module anonymous function dlopen electron asar js object module extensions node internal modules cjs loader js object module anonymous function node electron asar js module load internal modules cjs loader js trymoduleload internal modules cjs loader js function module load internal modules cjs loader js module require app asar static index js require internal modules cjs helpers js customrequire appdata local atom app resources app static embedded keyboardlayoutmanager appdata local atom app resources app static embedded manager appdata local atom app resources app static embedded object getcurrentkeyboardlayout appdata local atom app resources app static embedded keystrokeforkeyboardevent appdata local atom app resources app static embedded keymapmanager keystrokeforkeyboardevent appdata local atom app resources app static embedded keymapmanager handlekeyboardevent appdata local atom app resources app static embedded windoweventhandler handledocumentkeyevent appdata local atom app resources app static embedded commands core packages',bug
