"Id","Title","Body","Label"
"1","Search feature in Settings","It's absolutely essential.
If there is a search that I couldn't find, it would be bad design.
Thank you for your time.",""
"2","Uncaught Error: ENOENT: no such file or directory, lstat '~/Desktop/Login System (Node, MySQL)/ M...","[Enter steps to reproduce:]

1. Create a folder inside a folder in atom.
2. Try to move it a level down.

**Atom**: 1.41.0 x64
**Electron**: 4.2.7
**OS**: Linux Mint
**Thrown From**: Atom Core


### Stack Trace

Uncaught Error: ENOENT: no such file or directory, lstat '/home/artideusz/Desktop/Login System (Node, MySQL)/ MySQL)'

```
At fs.js:115

Error: ENOENT: no such file or directory, lstat '/home/artideusz/Desktop/Login System (Node, MySQL)/ MySQL)'
    at Proxy.realpathSync (fs.js:1435:7)
    at Proxy.fs.realpathSync (ELECTRON_ASAR.js:306:40)
    at TreeView.moveEntry (/usr/share/atom/resources/app/static/<embedded>:14:1008489)
    at TreeView.onDrop (/usr/share/atom/resources/app/static/<embedded>:14:1015418)
    at HTMLDivElement.<anonymous> (/usr/share/atom/resources/app/static/<embedded>:14:989049)
```

### Commands

```
     -2:37.6.0 snippets:next-tab-stop (input.hidden-input)
     -2:37.6.0 snippets:expand (input.hidden-input)
     -2:37.6.0 editor:indent (input.hidden-input)
  2x -2:37.1.0 core:backspace (input.hidden-input)
     -2:36.7.0 snippets:next-tab-stop (input.hidden-input)
     -2:36.6.0 snippets:expand (input.hidden-input)
     -2:36.6.0 editor:indent (input.hidden-input)
     -2:36.5.0 snippets:next-tab-stop (input.hidden-input)
     -2:36.5.0 snippets:expand (input.hidden-input)
     -2:36.5.0 editor:indent (input.hidden-input)
 19x -2:36.3.0 core:backspace (input.hidden-input)
     -2:31.6.0 tree-view:remove (div.tool-panel.tree-view)
     -1:52.9.0 core:save (div.tool-panel.tree-view)
  4x -0:51.3.0 core:backspace (input.hidden-input)
     -0:19.4.0 tree-view:add-folder (ol.tree-view-root.full-menu.list-tree.has-collapsable-children.focusable-panel)
     -0:17.6.0 core:confirm (input.hidden-input)
```

### Non-Core Packages

```
atom-ternjs 0.20.0 
emmet 2.4.3 
hyperclick 0.1.5 
```

",""
"3","Crashing on macOS 10.14 Mojave","<!--

Have you read Atom's Code of Conduct? By filing an Issue, you are expected to comply with it, including treating everyone with respect: https://github.com/atom/.github/blob/master/CODE_OF_CONDUCT.md

Do you want to ask a question? Are you looking for support? The Atom message board is the best place for getting support: https://discuss.atom.io

-->

### Prerequisites

* [x ] Put an X between the brackets on this line if you have done all of the following:
    * Reproduced the problem in Safe Mode: <https://flight-manual.atom.io/hacking-atom/sections/debugging/#using-safe-mode>
    * Followed all applicable steps in the debugging guide: <https://flight-manual.atom.io/hacking-atom/sections/debugging/>
    * Checked the FAQs on the message board for common solutions: <https://discuss.atom.io/c/faq>
    * Checked that your issue isn't already filed: <https://github.com/issues?utf8=✓&q=is%3Aissue+user%3Aatom>
    * Checked that there is not already an Atom package that provides the described functionality: <https://atom.io/packages>

### Description

Saving a new file crashes Atom. At the moment I am only able to work by copy and pasting a existing script and renaming it. 

### Steps to Reproduce

1. Ctrl + N to create new file 
2. Ctrl + S to save new file 


**Expected behavior:**

1. Ctrl + N to create new file 
2. Ctrl + S to save new file 
3. (Window asking what to name new file)

**Actual behavior:**

3. (crashes)

**Reproduces how often:**

100 %

### Versions

MacOS Majave
10.14.6

Atom    : 1.41.0
Electron: 4.2.7
Chrome  : 69.0.3497.128
Node    : 10.11.0

",""
"4","Uncaught Error: Module did not self-register.","[Enter steps to reproduce:]

1. Open a .blade.php file
2. Error appears and is not possible write any text

**Atom**: 1.40.0 x64
**Electron**: 3.1.10
**OS**: Mac OS X 10.14.6
**Thrown From**: Atom Core


### Stack Trace

Uncaught Error: Module did not self-register.

```
At ELECTRON_ASAR.js:166

Error: Module did not self-register.
    at process.module.(anonymous function) [as dlopen] (ELECTRON_ASAR.js:166:20)
    at Object.Module._extensions..node (internal/modules/cjs/loader.js:740:18)
    at Object.module.(anonymous function) [as .node] (ELECTRON_ASAR.js:180:18)
    at Module.load (internal/modules/cjs/loader.js:620:32)
    at tryModuleLoad (internal/modules/cjs/loader.js:559:12)
    at Function.Module._load (internal/modules/cjs/loader.js:551:3)
    at Module.require (/app.asar/static/index.js:72:46)
    at require (internal/modules/cjs/helpers.js:20:18)
    at customRequire (/Applications/Atom.app/Contents/Resources/app/static/<embedded>:1:688158)
    at get_KeyboardLayoutManager (/Applications/Atom.app/Contents/Resources/app/static/<embedded>:14:2744622)
    at get_manager (/Applications/Atom.app/Contents/Resources/app/static/<embedded>:14:2744724)
    at Object.getCurrentKeyboardLayout (/Applications/Atom.app/Contents/Resources/app/static/<embedded>:14:2744850)
    at e.keystrokeForKeyboardEvent (/Applications/Atom.app/Contents/Resources/app/static/<embedded>:14:1087821)
    at KeymapManager.keystrokeForKeyboardEvent (/Applications/Atom.app/Contents/Resources/app/static/<embedded>:11:1246932)
    at KeymapManager.handleKeyboardEvent (/Applications/Atom.app/Contents/Resources/app/static/<embedded>:11:1244917)
    at WindowEventHandler.handleDocumentKeyEvent (/Applications/Atom.app/Contents/Resources/app/static/<embedded>:11:284329)
```

### Commands

```
```

### Non-Core Packages

```
atom-commander 0.12.0 
atom-ide-ui 0.13.0 
atom-typescript 13.4.0 
blade-snippets 0.2.0 
blade-spacer 0.4.2 
editorconfig 2.5.0 
language-blade 0.44.0 
laravel 0.7.1 
laravel-5-snippets 0.19.0 
laravel-snippets 2.1.0 
remote-ftp 2.2.2 
```

",""
"5","Uncaught Error: Cannot call function 'isFocused' on missing remote object 17","[Enter steps to reproduce:]

1. ...
2. ...

**Atom**: 1.41.0 x64
**Electron**: 4.2.7
**OS**: Unknown Windows version
**Thrown From**: Atom Core


### Stack Trace

Uncaught Error: Cannot call function 'isFocused' on missing remote object 17

```
At C:\Users\emue\AppData\Local\atom\app-1.41.0\resources\electron.asar\renderer\api\remote.js:222

Error: Cannot call function 'isFocused' on missing remote object 17
    at throwRPCError (~/AppData/Local/atom/app-1.41.0/resources/electron.asar/browser/rpc-server.js:148:17)
    at ~/AppData/Local/atom/app-1.41.0/resources/electron.asar/browser/rpc-server.js:406:5
    at EventEmitter.ipcMain.on.args (~/AppData/Local/atom/app-1.41.0/resources/electron.asar/browser/rpc-server.js:273:21)
    at EventEmitter.emit (events.js:182:13)
    at WebContents.<anonymous> (~/AppData/Local/atom/app-1.41.0/resources/electron.asar/browser/api/web-contents.js:368:21)
    at WebContents.emit (events.js:182:13)

```

### Commands

```
     -0:00.4.0 Python run: run-f5 (input.hidden-input)
```

### Non-Core Packages

```
atom-beautify 0.33.4 
atom-ide-ui 0.13.0 
atom-python-run 0.9.7 
atom-terminal-panel 4.4.4 
docblockr 0.13.7 
emmet 2.4.3 
ide-python 1.5.0 
native-ui 0.27.0 
seti-icons 1.5.4 
seti-ui 1.11.0 
simplified-chinese-menu 5.3.5 
vim-mode 0.66.0 
```

",""
"6","Uncaught Error: Cannot call function 'getPosition' on missing remote object 103","[Enter steps to reproduce:]

1. ...
2. ...

**Atom**: 1.41.0 x64
**Electron**: 4.2.7
**OS**: Mac OS X 10.15.1
**Thrown From**: Atom Core


### Stack Trace

Uncaught Error: Cannot call function 'getPosition' on missing remote object 103

```
At /Applications/Atom.app/Contents/Resources/electron.asar/renderer/api/remote.js:222

Error: Cannot call function 'getPosition' on missing remote object 103
    at throwRPCError (/Applications/Atom.app/Contents/Resources/electron.asar/browser/rpc-server.js:148:17)
    at /Applications/Atom.app/Contents/Resources/electron.asar/browser/rpc-server.js:406:5
    at EventEmitter.ipcMain.on.args (/Applications/Atom.app/Contents/Resources/electron.asar/browser/rpc-server.js:273:21)
    at EventEmitter.emit (events.js:182:13)
    at WebContents.<anonymous> (/Applications/Atom.app/Contents/Resources/electron.asar/browser/api/web-contents.js:368:21)
    at WebContents.emit (events.js:182:13)

```

### Commands

```
     -8:11.3.0 tree-view:remove (span.name.icon.icon-file-directory)
     -7:56.5.0 tree-view:copy-project-path (span.name.icon.icon-file-directory)
     -7:46.9.0 core:paste (input.hidden-input)
     -7:31.4.0 tree-view:copy-project-path (span.name.icon.icon-file-text)
     -6:57.1.0 core:paste (input.hidden-input)
 26x -6:52.7.0 core:backspace (input.hidden-input)
     -6:46.1.0 core:save (input.hidden-input)
```

### Non-Core Packages

```
atom-runner 2.7.1 
busy-signal 2.0.1 
intentions 1.1.5 
language-restructuredtext 1.1.2 
linter 2.3.1 
linter-ui-default 1.8.0 
pandoc-convert 1.1.1 
platformio-ide-terminal 2.10.0 
rst-preview-pandoc 0.1.12 
rubocop-auto-correct 1.5.1 
ruby-block 0.3.6 
```

",""
"7","Autoclose tags, autocomplete htmlentities, highlight selected should be core features","Hello Atom Dev team, 

Atom is really one of the best and IDE of choice for coders and it should rank up there. However, I think the following features should be included as core and not just installed. For example:-

- Autoclose tags,
- highlight similar selected words or variables
- a caret to display a dropdown of opened tabs or autoscroll, without having all of the tabs stack at the top and their title names barely visible.

This would great!
",""
"8","Can't create git branch for local repository","<!--

Have you read Atom's Code of Conduct? By filing an Issue, you are expected to comply with it, including treating everyone with respect: https://github.com/atom/.github/blob/master/CODE_OF_CONDUCT.md

Do you want to ask a question? Are you looking for support? The Atom message board is the best place for getting support: https://discuss.atom.io

-->

### Prerequisites

* [x] Put an X between the brackets on this line if you have done all of the following:
    * Reproduced the problem in Safe Mode: <https://flight-manual.atom.io/hacking-atom/sections/debugging/#using-safe-mode>
    * Followed all applicable steps in the debugging guide: <https://flight-manual.atom.io/hacking-atom/sections/debugging/>
    * Checked the FAQs on the message board for common solutions: <https://discuss.atom.io/c/faq>
    * Checked that your issue isn't already filed: <https://github.com/issues?utf8=✓&q=is%3Aissue+user%3Aatom>
    * Checked that there is not already an Atom package that provides the described functionality: <https://atom.io/packages>

### Description

I can't create a branch for a local repository

### Steps to Reproduce

1. Install atom new
2. Create in git tab a repo
3. Try to create a branch

**Expected behavior:**

A branch should be created

**Actual behavior:**

Nothing happens

**Reproduces how often:**

The whole time

### Versions

1.41.0
",""
"9","Panes steal focus when resizing","<!--

Have you read Atom's Code of Conduct? By filing an Issue, you are expected to comply with it, including treating everyone with respect: https://github.com/atom/.github/blob/master/CODE_OF_CONDUCT.md

Do you want to ask a question? Are you looking for support? The Atom message board is the best place for getting support: https://discuss.atom.io

-->

### Prerequisites

* [X] Put an X between the brackets on this line if you have done all of the following:
    * Reproduced the problem in Safe Mode: <https://flight-manual.atom.io/hacking-atom/sections/debugging/#using-safe-mode>
    * Followed all applicable steps in the debugging guide: <https://flight-manual.atom.io/hacking-atom/sections/debugging/>
    * Checked the FAQs on the message board for common solutions: <https://discuss.atom.io/c/faq>
    * Checked that your issue isn't already filed: <https://github.com/issues?utf8=✓&q=is%3Aissue+user%3Aatom>
    * Checked that there is not already an Atom package that provides the described functionality: <https://atom.io/packages>

### Description

When the pane contents is something like an iframe, it will steal focus and stop the drag when resizing panes. This is relevant for embedded PDF viewing (especially relevant to LaTeX use), as the viewer will steal focus and prevent the PDF view from being resized properly.


### Steps to Reproduce

1. Have the following in your `init.js` file
```javascript
atom.workspace.addOpener(uri => {
  if (uri === ""frame://example"") {
    const frame = document.createElement(""iframe"");
    frame.setAttribute(""style"", ""width:100%;height:100%"");

    return {
      getTitle: () => ""iframe"",
      element: frame,
    };
  }
})

atom.workspace.addOpener(uri => {
  if (uri === ""editor://example"") {
    return atom.workspace.buildTextEditor();
  }
})

atom.workspace.open(""frame://example"");
atom.workspace.open(""editor://example"");
```
2. Move the TextEditor panel so that both are visible side by side
3. Resize the panels by dragging the resize element towards the iframe.

**Expected behavior:**

<!-- What you expect to happen -->
The iframe panel gets smaller

**Actual behavior:**

<!-- What actually happens -->
The panel does not get smaller unless you drag it really slowly

**Reproduces how often:**

<!-- What percentage of the time does it reproduce? -->
100%

### Versions

<!-- You can get this information from copy and pasting the output of `atom --version` and `apm --version` from the command line. Also, please include the OS and what version of the OS you're running. -->

Atom    : 1.41.0
Electron: 4.2.7
Chrome  : 69.0.3497.128
Node    : 10.11.0

Ubuntu 19.04

### Additional Information

[PR here](https://github.com/atom/atom/pull/19862)",""
"10","Uncaught Error: Module did not self-register.","[Enter steps to reproduce:]

1. ...
2. ...

**Atom**: 1.40.1 x64
**Electron**: 3.1.10
**OS**: Mac OS X 10.14.6
**Thrown From**: Atom Core


### Stack Trace

Uncaught Error: Module did not self-register.

```
At ELECTRON_ASAR.js:166

Error: Module did not self-register.
    at process.module.(anonymous function) [as dlopen] (ELECTRON_ASAR.js:166:20)
    at Object.Module._extensions..node (internal/modules/cjs/loader.js:740:18)
    at Object.module.(anonymous function) [as .node] (ELECTRON_ASAR.js:180:18)
    at Module.load (internal/modules/cjs/loader.js:620:32)
    at tryModuleLoad (internal/modules/cjs/loader.js:559:12)
    at Function.Module._load (internal/modules/cjs/loader.js:551:3)
    at Module.require (/app.asar/static/index.js:72:46)
    at require (internal/modules/cjs/helpers.js:20:18)
    at customRequire (/Applications/Atom.app/Contents/Resources/app/static/<embedded>:1:688158)
    at get_KeyboardLayoutManager (/Applications/Atom.app/Contents/Resources/app/static/<embedded>:14:2744622)
    at get_manager (/Applications/Atom.app/Contents/Resources/app/static/<embedded>:14:2744724)
    at Object.getCurrentKeyboardLayout (/Applications/Atom.app/Contents/Resources/app/static/<embedded>:14:2744850)
    at e.keystrokeForKeyboardEvent (/Applications/Atom.app/Contents/Resources/app/static/<embedded>:14:1087821)
    at KeymapManager.keystrokeForKeyboardEvent (/Applications/Atom.app/Contents/Resources/app/static/<embedded>:11:1246932)
    at KeymapManager.handleKeyboardEvent (/Applications/Atom.app/Contents/Resources/app/static/<embedded>:11:1244917)
    at WindowEventHandler.handleDocumentKeyEvent (/Applications/Atom.app/Contents/Resources/app/static/<embedded>:11:284329)
```

### Commands

```
```

### Non-Core Packages

```
atom-dbt 0.4.4 
atom-dbt-formatter 1.3.1 
```

",""
