@relation Issues

@attribute Id string
@attribute Title string
@attribute Body string
@attribute Label {bug,enhancement}

@data
1,'wait works closing','read atom conduct filing issue expected comply including treating respect https atom blob master conduct md question support atom message board place support https discuss atom io prerequisites put brackets line reproduced problem safe mode https flight manual atom io hacking atom sections debugging safe mode applicable steps debugging guide https flight manual atom io hacking atom sections debugging checked faqs message board common solutions https discuss atom io faq checked issue isn filed https issues utf8 âœ 3aissue user 3aatom checked atom functionality https atom io description description issue git config editor set atom wait note set config atom wait safe issue appeared upgraded version issue related steps reproduce open folder atom edit files run git commit folder atom commit editmsg file tab window write message save note git rebase git operations input editor expected behavior happen closing file tab commit finalize actual behavior close window commit finalize reproduces time reproduce time versions information copy pasting output atom version apm version command line include os version os running atom electron chrome node git version windows windows enterprise 64bit additional information additional information configuration reproduce issue demo atom wait issue https user images githubusercontent 1fd41f80 ca84 11e9 99ae b66a191ca56d gif',bug
2,'wsl assumes root automount','read atom conduct filing issue expected comply including treating respect https atom atom blob master conduct md question support atom message board place support https discuss atom io prerequisites put brackets line reproduced problem safe mode https flight manual atom io hacking atom sections debugging safe mode applicable steps debugging guide https flight manual atom io hacking atom sections debugging checked faqs message board common solutions https discuss atom io faq checked issue isn filed https issues utf8 âœ 3aissue user 3aatom checked atom functionality https atom io description mount running atom wsl won load atom findmnt source target source fstype drvfs rw noatime uid gid umask fmask metadata case atom path atom doesn atomcmd https atom atom blob c5ebfbddd096a24bb99b832432a5dfcd67da4714 resources win atom l8 l15 https atom atom issues happening ubuntu wsl windows atom steps reproduce windows enable wsl install atom install ubuntu ubuntu wsl wsl conf mount automount exit ubuntu run ubuntu run atom atom expected behavior atom open actual behavior atom path reproduces versions information copy pasting output atom version apm version command line include os version os running windows ubuntu systeminfo exe grep os version os microsoft windows pro os version grep version os version lts bionic beaver microsoft linux atom users solvaholic atom version atom electron chrome node users solvaholic apm version apm npm node x64 atom python git windows studio additional information issue atom methods fresh install ubuntu app custom aliases windows wsl appends windows path linux path running atom linux run localappdata atom bin atom windows user home directory calls atom version atom cat atom bin dirname app resources atom issues related running atom linux wsl path availability translation scope issue',bug
3,'recognize grammar abbreviations grammar','moritzkn january great ordering influenced abbreviations script exact abbreviation abbreviations grammars json json twig properties twig junit 4th 1st 3rd prefer abbreviations rated pc preempt fri dec utc selector',enhancement
5,'customize presence absence final eol','mcandre commented feb utc proper final eol terminator crlf benefit final eol terminator client final eol absent concatenated formats makefile final eol terminator safeguard kinds surprises helpful ending selector offered manage choice crlf eol present eol absent eol sensitive terminator jasonrudolph jasonrudolph ending selector ending selector',enhancement
6,'intelligent mimetype','mcandre commented feb utc ending selector fairly flexible crlf ending specific profile ending specific crlf bat ps1 vbs cs ending format critical types preferential crlf specific py jasonrudolph jasonrudolph ending selector ending selector',enhancement
8,'converting project','richyhbm commented oct utc great ability ending bellow batch alll jasonrudolph jasonrudolph ending selector ending selector',enhancement
10,'button reflect deprecation','eboracus july nice notification inform give depcop c2983b06 2cb9 f9e957e6f352',enhancement
13,'package misleading','martinmuzatko hope coffescript 908b c2116d8f818f thought b5bf0962 9b9f 1b82be51244f',enhancement
14,'live dev fails multiple files symlinks path','p0lm read atom conduct filing issue expected comply including treating respect https atom atom blob master conduct md question support atom message board place support https discuss atom io prerequisites put brackets line reproduced problem safe mode http flight manual atom io hacking atom sections debugging safe mode applicable steps debugging guide http flight manual atom io hacking atom sections debugging checked faqs message board common solutions https discuss atom io faq checked issue isn filed https issues utf8 âœ 3aissue user 3aatom checked atom functionality https atom io description multiple files symlinks identical path dev longer works steps reproduce create create file create symlinks file open atom developer mode expected behavior edit file actual behavior trace handle returned watching path watched path path handlewatcher start main js handlewatcher main js pathwatcher main js exports watch main js module exports file subscribetonativechangeevents file js module exports file willaddsubscription file js anonymous function file js module exports file ondidchange file js module exports textbuffer subscribetofile text buffer js module exports textbuffer setpath text buffer js textbuffer text buffer js module exports buildbuffer coffee module exports bufferforpath coffee opentextfile js openuriinpane js open js module exports treeview openafterpromise tree view coffee module exports treeview fileviewentryclicked tree view coffee module exports treeview entryclicked tree view coffee anonymous function tree view coffee reproduces versions linux mint cinnamon atom development mode issue atom dev',bug
15,browser,'kevinsawicki figure exceptions',enhancement
16,'collect recent errors make','kevinsawicki august dance collecting printrecenterrors',enhancement
17,'request package existing','tairun september cool checks seconds indicator searching online',enhancement
20,'reflowing jsdoc','slang800 constructor options passed manually nsync library sets schema properties transports options extend reflowed constructor options passed manually nsync library sets schema properties transports options extend great autoflow st2 ehuss reflows constructor options passed manually nsync library sets schema properties transports options extend autoflow',enhancement
21,'reflow jumbles separate lines','joallard burodepeper markdown briefly issue dupe clear heading empty line gherkin markdown text line separate heading put caret invoke alt cmd reflown actual md text line separate heading issue atom',bug
22,'add support editorconfig','terrycloth march editorconfig editorconfig standardizing configurations editorconfig editorconfig editorconfig properties specific globbing patterns format helpful autoflow directive defines maximum editorconfig placement forcing maximum semantically autoflow directive determining rewrap autoflow autoflow',enhancement
23,'symlinks repository breaking diff','lucascosti february read atom conduct filing issue expected comply including treating respect https atom atom blob master conduct md question support atom message board place support https discuss atom io prerequisites put brackets line reproduced problem safe mode http flight manual atom io hacking atom sections debugging safe mode applicable steps debugging guide http flight manual atom io hacking atom sections debugging checked faqs message board common solutions https discuss atom io faq checked issue isn filed https issues utf8 âœ 3aissue user 3aatom checked atom functionality https atom io description repo symlinks repo repo docs œâ topics installguide topics topics repo docs installguide topics repo docs topics open file symlinked directory repo docs installguide topics git diff line marking gutter file longer works open file repo docs topics git diff line marking gutter started breaking installed issue directory structure working fine git diff week versions os atom version atom electron chrome node apm version apm npm node x64 python git issue atom git diff',bug
