@relation Issues

@attribute Title string
@attribute Body string
@attribute Label {bug,enhancement}

@data
'atom nightly1 fails open','description latest atom nightly build nightly1 atom fails open steps reproduce attempt launch atom command line atom nightly safe foreground expected behavior atom opens errors actual behavior command line shows errors atom window shown atom nightly compositedisposable dispose method atom nightly typeerror compositedisposable dispose method assertdisposable applications atom nightly app contents resources app asar node modules event kit dist composite disposable js compositedisposable applications atom nightly app contents resources app asar node modules event kit dist composite disposable js atomapplication launch applications atom nightly app contents resources app asar src main process atom application js anonymous null null reproduces versions macos atom nightly version atom nightly1 electron chrome node',bug
'atom missing','release suddenly missing event kit textbuffer compositedisposable https atom io v1 compositedisposable https atom io v1 compositedisposable error disposable https atom io v1 disposable https atom io v1 disposable error emitter https atom io v1 emitter https atom io v1 emitter error textbuffer https atom io v1 textbuffer https atom io v1 textbuffer error recent conversion javascript culprit',bug
'abbreviations selector','moritzkn january prerequisites put brackets line reproduced problem safe mode http flight manual atom io hacking atom sections debugging safe mode applicable steps debugging guide http flight manual atom io hacking atom sections debugging checked faqs message board common solutions https discuss atom io faq checked issue isn filed https github issues utf8 âœ 3aissue user 3aatom checked atom package functionality https atom io packages description great ordering influenced abbreviations steps reproduce kbd ctrl kbd kbd shift kbd kbd kbd enter js expected behavior enter js expect java script result exact abbreviation expect abbreviations actual behavior json json java javascript test report javascript 4th place 1st beginning abbreviations rated full reproduces versions atom version atom electron chrome node apm version apm npm node x64 atom python git uname os linux arch pc arch smp preempt x86 gnu linux issue atom selector',enhancement
'uncaught typeerror read property length undefined','priyankvex jan enter steps reproduce atom version system linux generic thrown line https github atom line package v0 stack trace uncaught typeerror read property length undefined usr share atom resources app node modules text buffer lib text buffer js typeerror read property length undefined textbuffer module exports textbuffer linelengthforrow usr share atom resources app node modules text buffer lib text buffer js textbuffer module exports textbuffer clipposition usr share atom resources app node modules text buffer lib text buffer js displaybuffer module exports displaybuffer screenpositionforbufferposition usr share atom resources app src display buffer js displaybuffer module exports displaybuffer scrolltobufferposition usr share atom resources app src display buffer js texteditor module exports texteditor scrolltobufferposition usr share atom resources app src text editor js gotolineview module exports gotolineview confirm usr share atom resources app node modules line lib line view js atom text editor anonymous usr share atom resources app node modules line lib line view js commandregistry module exports commandregistry handlecommandevent usr share atom resources app src command registry js usr share atom resources app src command registry js keymapmanager module exports keymapmanager dispatchcommandevent usr share atom resources app node modules atom keymap lib keymap manager js keymapmanager module exports keymapmanager handlekeyboardevent usr share atom resources app node modules atom keymap lib keymap manager js htmldocument module exports windoweventhandler onkeydown usr share atom resources app src window event handler js commands core cancel atom text editor editor mini application file atom pane pane active minimap line toggle atom text editor editor focused core paste atom text editor editor mini core confirm atom text editor editor mini config json core installed packages coffee user minimap v3 dev dev packages cc atom core issue moved https github atom line https github atom line issues',bug
'till presses','ankithherle atom shifting sublime text atom goto line package atom user press enter goto line user types sublime text user goto line user enters editor goto line pressed goto line issue moved https github atom line https github atom line issues',enhancement
'customize presence absence final eol','mcandre proper lf text files feature final eol terminator end files benefit final eol terminator headers js code final eol absent due files concatenated gnu makefile require final eol terminator user safeguard surprises line selector additional manage line lf cr user select file eol eol absent eol text files feature end file terminator issue moved jasonrudolph https github jasonrudolph atom line selector https github atom line selector issues',enhancement
'intelligent defaults mimetype','mcandre menu line selector fairly flexible users style lf line windows style line text files line start files lf mode sh bash profile line start windows files mode bat cmd vbs fs users line file types preferential lf files txt md py issue moved jasonrudolph https github jasonrudolph atom line selector https github atom line selector issues',enhancement
'normalize file eol','nodejose im trouble atom beautify line lf vice versa depending im jsbeautify prettydiff issue normalize file eol save feature line package package maintained line selector feature line selector package issue moved jasonrudolph https github jasonrudolph atom line selector https github atom line selector issues',enhancement
'line files','richyhbm pm great ability files view clicking file selecting line file happen opening file editor view folder prompt line files folder save batch open files editor user click close alll hit save files issue moved jasonrudolph https github jasonrudolph atom line selector https github atom line selector issues',enhancement
'wrong title opening issue','mik01aj february deprecation screenshot https cloud githubusercontent assets 838956b4 ae1c 11e4 1f49594f38f5 png click link screenshot https cloud githubusercontent assets af89069c ae1c 11e4 9f79 963e2dcacf8e png issue atom deprecation cop',bug
'important styles','dsandstrom pain override background color https github atom deprecation cop blob master deprecation cop l16 issue atom deprecation cop',enhancement
reload,'masseguillaume merge https github masseguillaume atom reload issue atom dev reload',enhancement
'work linux duplicate handles','varemenos doesn initialize livereload watcher refresh ui correct issue atom dev reload',bug
'','martinmuzatko april dev reload reload core packages coffescript atom mode image https cloud githubusercontent assets 11e6 908b c2116d8f818f png dev reload reload dev reload reload image https cloud githubusercontent assets b5bf0962 11e6 9b9f 1b82be51244f png package related issue atom dev reload',enhancement
'errors make','dev tools pops shows top stack errors logged package caused open dev tools reproduce error stack start collecting log dev tools printrecenterrors method check stack package atom packages stack issue atom exception reporting',enhancement
'request issue','tairun september cool package checks open issue github report error click issue reported good seconds view issue visual atom issue atom exception reporting',enhancement
'exception error thrown','peterhal parsestacktrace attempts thrown key stacktracecache weakmap weakmap thrown object thrown stack trace error reporting uncaught exception typeerror invalid weak map key weakmap set native parsestacktrace applications atom app contents resources app asar node modules exception reporting lib reporter js shouldreport applications atom app contents resources app asar node modules exception reporting lib reporter js object exports reportuncaughtexception applications atom app contents resources app asar node modules exception reporting lib reporter js applications atom app contents resources app asar node modules exception reporting lib main js function module exports emitter simpledispatch applications atom app contents resources app asar node modules event kit lib emitter js emitter module exports emitter emit applications atom app contents resources app asar node modules event kit lib emitter js applications atom app contents resources app asar src atom environment js issue atom exception reporting',bug
