@relation Issues

@attribute Title string
@attribute Body string
@attribute Label {bug,enhancement}

@data
'Recognize grammar abbreviations in Grammar selector',' From MoritzKn on January 4 2018 23 24 Prerequisites Put an X between the brackets on this line if you have done all of the following Reproduced the problem in Safe Mode http flight manual atom io hacking atom sections debugging using safe mode Followed all applicable steps in the debugging guide http flight manual atom io hacking atom sections debugging Checked the FAQs on the message board for common solutions https discuss atom io c faq Checked that your issue isn t already filed https github com issues utf8 q is 3Aissue user 3Aatom Checked that there is not already an Atom package that provides the described functionality https atom io packages Description It would be great if the ordering would be influenced by abbreviations Steps to Reproduce 1 kbd ctrl kbd kbd shift kbd kbd L kbd 2 enter js Expected behavior E g if I enter js I would expect Java Script to be the first result since it s an exact abbreviation I would expect this for other abbreviations too Actual behavior I get the following grammars 1 JSON 2 JSDoc 3 JSON Twig 4 Java Properties 5 Javascript Twig 6 JUnit Test Report 7 JavaScript I could understand if it were on the 4th place since the 1st to 3rd places match on the beginning However I would prefer if abbreviations would be rated just a little less then a full match Reproduces how often 100 Versions atom version Atom 1 23 1 Electron 1 6 15 Chrome 56 0 2924 87 Node 7 4 0 apm version apm 1 18 11 npm 3 10 10 node 6 9 5 x64 atom 1 23 1 python 3 6 4 git 2 15 1 uname a OS Linux arch pc 4 14 10 1 ARCH 1 SMP PREEMPT Fri Dec 29 20 17 35 UTC 2017 x86 64 GNU Linux Copied from original issue atom grammar selector 53 ',enhancement
'Uncaught TypeError Cannot read property length of undefined',' priyankvex commented on Jan 24 2015 7 48 AM UTC Enter steps to reproduce below 1 2 Atom Version 0 175 0 System linux 3 13 0 44 generic Thrown From go to line https github com atom go to line package v0 30 0 Stack Trace Uncaught TypeError Cannot read property length of undefined At usr share atom resources app node modules text buffer lib text buffer js 391 TypeError Cannot read property length of undefined at TextBuffer module exports TextBuffer lineLengthForRow usr share atom resources app node modules text buffer lib text buffer js 391 29 at TextBuffer module exports TextBuffer clipPosition usr share atom resources app node modules text buffer lib text buffer js 943 53 at DisplayBuffer module exports DisplayBuffer screenPositionForBufferPosition usr share atom resources app src display buffer js 1009 27 at DisplayBuffer module exports DisplayBuffer scrollToBufferPosition usr share atom resources app src display buffer js 661 47 at TextEditor module exports TextEditor scrollToBufferPosition usr share atom resources app src text editor js 2670 33 at GoToLineView module exports GoToLineView confirm usr share atom resources app node modules go to line lib go to line view js 116 14 at atom text editor anonymous usr share atom resources app node modules go to line lib go to line view js 55 24 at CommandRegistry module exports CommandRegistry handleCommandEvent usr share atom resources app src command registry js 243 29 at usr share atom resources app src command registry js 3 61 at KeymapManager module exports KeymapManager dispatchCommandEvent usr share atom resources app node modules atom keymap lib keymap manager js 558 16 at KeymapManager module exports KeymapManager handleKeyboardEvent usr share atom resources app node modules atom keymap lib keymap manager js 396 22 at HTMLDocument module exports WindowEventHandler onKeydown usr share atom resources app src window event handler js 170 20 Commands 30 09 2 core cancel atom text editor editor mini 30 05 4 application new file atom pane pane active with minimap 30 03 5 go to line toggle atom text editor editor is focused 30 03 5 core paste atom text editor editor mini 30 00 0 core confirm atom text editor editor mini Config json core Installed Packages coffee User minimap v3 5 6 Dev No dev packages cc atom core This issue was moved by daviwil https github com daviwil from atom go to line 19 https github com atom go to line issues 19 ',bug
'Dont wait till user presses Enter button',' ankithherle commented on Oct 23 2015 4 29 AM UTC I am new to Atom i am shifting from sublime text to Atom Goto line package in Atom is waiting for user to press enter but i think it should goto line as user types a number as there its in sublime text If an user wants to goto line 812 as user enters 8 editor should goto line 8 and next when 1 is pressed it should goto line 81 etc This issue was moved by daviwil https github com daviwil from atom go to line 26 https github com atom go to line issues 26 ',enhancement
'Customize presence absence ignored of final EOL',' mcandre commented on Feb 25 2018 3 01 AM UTC Proper LF text files feature a final EOL terminator at the end and even CRLF files benefit from a final EOL terminator For example C C h headers and js client code may break when a final EOL is absent due to the way that these files are concatenated Some formats such as GNU Makefile s require a final EOL terminator To help the user safeguard against these kinds of surprises it would be helpful if line ending selector offered an additional setting to manage this Aside from the choice of line sequence LF CRLF CR etc the user should be able to select a default and per file setting of EOL Present EOL Absent EOL Ignored This way sensitive text files are sure to feature the right end of file terminator This issue was moved by jasonrudolph https github com jasonrudolph from atom line ending selector 53 https github com atom line ending selector issues 53 ',enhancement
'Intelligent defaults based on mimetype',' mcandre commented on Feb 25 2018 3 08 AM UTC The current settings menu for line ending selector is fairly flexible allowing users to default to either UNIX style LF line endings or Windows style CRLF line endings for new text files However I think we can do better Regardless of default line ending value start new UNIX specific files in LF mode sh bash profile etc Regardless of default line ending value start new Windows specific files in CRLF mode bat cmd ps1 vbs cs fs etc This way users can be sure to use an appropriate line ending format for critical file types while using their preferential default of LF CRLF for non specific files txt md py etc This issue was moved by jasonrudolph https github com jasonrudolph from atom line ending selector 54 https github com atom line ending selector issues 54 ',enhancement
'Allow Normalize File EOL s On Save',' NodeJoSe commented on Nov 18 2016 6 11 AM UTC Hello im having some trouble with atom beautify changing my line ending format from lf to crlf and vice versa depending if im using jsbeautify or prettydiff I managed to solve the issue by using Normalize File EOL s On Save feature of the line ending converter package but that package is not maintained because we have line ending selector now We should add this feature on the line ending selector package This issue was moved by jasonrudolph https github com jasonrudolph from atom line ending selector 36 https github com atom line ending selector issues 36 ',enhancement
'Allow converting line endings for multiple files in project',' RichyHBM commented on Oct 31 2016 9 24 PM UTC It would be great to have the ability to convert files from the project side view maybe by right clicking on the file and selecting convert line endings If you were to do so on a file the default behaviour could happen opening the file in the editor view and changing the endings without saving But doing so on a folder should prompt the line ending to convert all files bellow that folder to this could then auto save or batch open all the files in editor and convert the endings without saving the user could then click on close alll and hit save for all of the files This issue was moved by jasonrudolph https github com jasonrudolph from atom line ending selector 34 https github com atom line ending selector issues 34 ',enhancement
'Wrong suggested title for opening a new issue',' From mik01aj on February 6 2015 15 26 Deprecation warning looks like this screenshot 2015 02 06 16 22 15 https cloud githubusercontent com assets 3027415 6081782 838956b4 ae1c 11e4 8986 1f49594f38f5 png But when I click on the link I see screenshot 2015 02 06 16 24 12 https cloud githubusercontent com assets 3027415 6081807 af89069c ae1c 11e4 9f79 963e2dcacf8e png Copied from original issue atom deprecation cop 30 ',bug
'Change Report Issue button to reflect current status of the deprecation',' From eboracus on July 17 2015 18 31 It would be nice if the report issue button behaved similarly to the Uncaught Error notification s report issue button So if the error issue has already been reported the button changes visually to inform the user and they know it s not necessary to go and report it The button could still link through to the logged issue s page as it does now but just give the information to the user without them having to click and open up the link to find out depcop report issue https cloud githubusercontent com assets 11758299 8754208 c2983b06 2cb9 11e5 9001 f9e957e6f352 png This is how it currently looks for a deprecation that has already been reported Copied from original issue atom deprecation cop 61 ',enhancement
'grammar reload',' From MasseGuillaume on July 31 2014 17 23 can we find a way to merge this https github com MasseGuillaume atom live grammar reload Copied from original issue atom dev live reload 6 ',enhancement
