Title,Body
Uncaught TypeError: Cannot destructure property `itemHeight` of 'undefined' or 'null'.,"[Enter steps to reproduce:]

1. ...
2. ...

**Atom**: 1.40.1 x64
**Electron**: 3.1.10
**OS**: Microsoft Windows 10 Home
**Thrown From**: Atom Core


### Stack Trace

Uncaught TypeError: Cannot destructure property `itemHeight` of 'undefined' or 'null'.

```
At C:\Users\Josh\AppData\Local\atom\app-1.40.1\resources\app\static\<embedded>:14

TypeError: Cannot destructure property `itemHeight` of 'undefined' or 'null'.
    at SuggestionListElement.scrollSelectedItemIntoView (~/AppData/Local/atom/app-1.40.1/resources/app/static/<embedded>:14:1490932)
    at SuggestionListElement.renderSelectedItem (~/AppData/Local/atom/app-1.40.1/resources/app/static/<embedded>:14:1490717)
    at ViewRegistry.performDocumentUpdate (~/AppData/Local/atom/app-1.40.1/resources/app/static/<embedded>:11:325676)
```

### Commands

```
  2x -1:56.1.0 run:file (input.hidden-input)
 25x -1:21.9.0 core:move-up (input.hidden-input)
     -1:20.6.0 core:move-right (input.hidden-input)
     -1:20.6.0 core:move-down (input.hidden-input)
     -1:20 core:move-up (input.hidden-input)
  2x -1:01.7.0 core:backspace (input.hidden-input)
```

### Non-Core Packages

```
atom-runner 2.7.1 
busy-signal 2.0.1 
intentions 1.1.5 
linter 2.3.1 
linter-flake8 2.4.0 
linter-ui-default 1.8.0 
teletype 0.13.4 
```

"
Uncaught RangeError: Invalid count value,"[Enter steps to reproduce:]

1. ...
2. ...

**Atom**: 1.40.1 x64
**Electron**: 3.1.10
**OS**: Mac OS X 10.13.6
**Thrown From**: Atom Core


### Stack Trace

Uncaught RangeError: Invalid count value

```
At /Applications/Atom.app/Contents/Resources/app/static/<embedded>:14

RangeError: Invalid count value
    at String.repeat (<anonymous>)
    at ScreenLineBuilder.emitIndentWhitespace (/Applications/Atom.app/Contents/Resources/app/static/<embedded>:14:1199795)
    at ScreenLineBuilder.buildScreenLines (/Applications/Atom.app/Contents/Resources/app/static/<embedded>:14:1194618)
    at DisplayLayer.getScreenLines (/Applications/Atom.app/Contents/Resources/app/static/<embedded>:14:95252)
    at TextEditorComponent.queryScreenLinesToRender (/Applications/Atom.app/Contents/Resources/app/static/<embedded>:11:79712)
    at TextEditorComponent.updateSyncBeforeMeasuringContent (/Applications/Atom.app/Contents/Resources/app/static/<embedded>:11:70365)
    at TextEditorComponent.updateSync (/Applications/Atom.app/Contents/Resources/app/static/<embedded>:11:67993)
    at visible.suppressUpdates.updatedSynchronously.updateScheduled.i.getScheduler.updateDocument (/Applications/Atom.app/Contents/Resources/app/static/<embedded>:11:67021)
    at ViewRegistry.performDocumentUpdate (/Applications/Atom.app/Contents/Resources/app/static/<embedded>:11:325676)
```

### Commands

```
```

### Non-Core Packages

```
atom-beautify 0.32.2 
atom-html-preview 0.2.5 
atom-live-server 2.2.0 
atom-runner 2.7.1 
atom-xcode 0.1.3 
browser-plus 0.0.98 
emmet 2.4.3 
markdown-preview-plus 2.5.5 
markdown-writer 2.7.3 
pigments 0.40.2 
pretty-json 2.0.1 
```

"
Split pane does not close after last tab is closed,"### Prerequisites

* [x] Put an X between the brackets on this line if you have done all of the following:
    * Reproduced the problem in Safe Mode: <https://flight-manual.atom.io/hacking-atom/sections/debugging/#using-safe-mode>
    * Followed all applicable steps in the debugging guide: <https://flight-manual.atom.io/hacking-atom/sections/debugging/>
    * Checked the FAQs on the message board for common solutions: <https://discuss.atom.io/c/faq>
    * Checked that your issue isn't already filed: <https://github.com/issues?utf8=✓&q=is%3Aissue+user%3Aatom>
    * Checked that there is not already an Atom package that provides the described functionality: <https://atom.io/packages>

### Description
After closing the last tab in a pane, the empty pane remains around. It used to close automatically. I have to right-click and ""close pane"" (or cmd-W) to clear it.

### Steps to Reproduce

1. open any file 
2. right click on its tab and select ""split right""
3. a new instance of the editor opens in a new pane to the right
4. Close the tab in the new right pane
5. The empty right pane remains even though there are no files to show

**Expected behavior:**
I expected the extra pane to automatically close when its last tab is closed.

**Actual behavior:**
The empty pane hangs around taking up space

**Reproduces how often:**
100%

### Versions
Atom    : 1.34.0
Electron: 2.0.16
Chrome  : 61.0.3163.100
Node    : 8.9.3
MacOS: Mojave 10.14.6
"
Uncaught Error: Cannot call function 'emit' on missing remote object 165Error: Cannot call funct...,"[Enter steps to reproduce:]

1. ... on surface pro, windows 10 touch screen and hold over misspelled word. 

**Atom**: 1.40.1 x64
**Electron**: 3.1.10
**OS**: Microsoft Windows 10 Pro
**Thrown From**: Atom Core


### Stack Trace

Uncaught Error: Cannot call function 'emit' on missing remote object 165
Error: Cannot call function 'emit' on missing remote object 165
    at throwRPCError (C:\Users\gothe\AppData\Local\atom\app-1.40.1\resources\electron.asar\browser\rpc-server.js:145:17)
    at EventEmitter.<anonymous> (C:\Users\gothe\AppData\Local\atom\app-1.40.1\resources\electron.asar\browser\rpc-server.js:367:7)
    at EventEmitter.emit (events.js:182:13)
    at WebContents.<anonymous> (C:\Users\gothe\AppData\Local\atom\app-1.40.1\resources\electron.asar\browser\api\web-contents.js:294:13)
    at WebContents.emit (events.js:182:13)


```
At C:\Users\gothe\AppData\Local\atom\app-1.40.1\resources\electron.asar\renderer\api\remote.js:219

Error: Cannot call function 'emit' on missing remote object 165
Error: Cannot call function 'emit' on missing remote object 165
    at throwRPCError (~/AppData/Local/atom/app-1.40.1/resources/electron.asar/browser/rpc-server.js:145:17)
    at EventEmitter.<anonymous> (~/AppData/Local/atom/app-1.40.1/resources/electron.asar/browser/rpc-server.js:367:7)
    at EventEmitter.emit (events.js:182:13)
    at WebContents.<anonymous> (~/AppData/Local/atom/app-1.40.1/resources/electron.asar/browser/api/web-contents.js:294:13)
    at WebContents.emit (events.js:182:13)

    at metaToException (~/AppData/Local/atom/app-1.40.1/resources/electron.asar/renderer/api/remote.js:271:17)
    at Object.exception (~/AppData/Local/atom/app-1.40.1/resources/electron.asar/renderer/api/remote.js:219:30)
    at metaToValue (~/AppData/Local/atom/app-1.40.1/resources/electron.asar/renderer/api/remote.js:223:28)
    at Object.remoteMemberFunction (~/AppData/Local/atom/app-1.40.1/resources/electron.asar/renderer/api/remote.js:123:16)
    at ContextMenuManager.showForEvent (~/AppData/Local/atom/app-1.40.1/resources/app/static/<embedded>:11:400736)
    at WindowEventHandler.handleDocumentContextmenu (~/AppData/Local/atom/app-1.40.1/resources/app/static/<embedded>:11:286906)
```

### Commands

```
 23x -1:19.6.0 core:move-down (input.hidden-input)
  3x -1:13.8.0 core:move-up (input.hidden-input)
 28x -1:13.1.0 core:move-down (input.hidden-input)
  7x -1:04.4.0 core:move-up (input.hidden-input)
     -1:02.8.0 core:move-down (input.hidden-input)
     -1:02.6.0 core:move-left (input.hidden-input)
     -0:54.7.0 editor:newline (input.hidden-input)
  2x -0:33.6.0 core:backspace (input.hidden-input)
 28x -0:24.6.0 core:move-down (input.hidden-input)
  4x -0:17.6.0 core:move-up (input.hidden-input)
     -0:16.5.0 editor:move-to-end-of-word (input.hidden-input)
  2x -0:16 core:move-left (input.hidden-input)
     -0:15.4.0 core:backspace (input.hidden-input)
     -0:14.6.0 core:move-down (input.hidden-input)
     -0:13.9.0 core:move-up (input.hidden-input)
     -0:13.2.0 core:backspace (input.hidden-input)
```

### Non-Core Packages

```
atom-notes 1.20.0 
markdown-preview-plus 3.10.0 
minimap 4.29.9 
notifications-plus 0.69.15 
wordcount 3.1.0 
```

"
Uncaught Error: Cannot call function 'getPosition' on missing remote object 246Error: Cannot cal...,"[Enter steps to reproduce:]

1. ...
2. ...

**Atom**: 1.40.1 x64
**Electron**: 3.1.10
**OS**: Ubuntu 18.04.3
**Thrown From**: Atom Core


### Stack Trace

Uncaught Error: Cannot call function 'getPosition' on missing remote object 246
Error: Cannot call function 'getPosition' on missing remote object 246
    at throwRPCError (/snap/atom/238/usr/share/atom/resources/electron.asar/browser/rpc-server.js:145:17)
    at EventEmitter.<anonymous> (/snap/atom/238/usr/share/atom/resources/electron.asar/browser/rpc-server.js:367:7)
    at EventEmitter.emit (events.js:182:13)
    at WebContents.<anonymous> (/snap/atom/238/usr/share/atom/resources/electron.asar/browser/api/web-contents.js:294:13)
    at WebContents.emit (events.js:182:13)


```
At /snap/atom/238/usr/share/atom/resources/electron.asar/renderer/api/remote.js:219

Error: Cannot call function 'getPosition' on missing remote object 246
Error: Cannot call function 'getPosition' on missing remote object 246
    at throwRPCError (/snap/atom/238/usr/share/atom/resources/electron.asar/browser/rpc-server.js:145:17)
    at EventEmitter.<anonymous> (/snap/atom/238/usr/share/atom/resources/electron.asar/browser/rpc-server.js:367:7)
    at EventEmitter.emit (events.js:182:13)
    at WebContents.<anonymous> (/snap/atom/238/usr/share/atom/resources/electron.asar/browser/api/web-contents.js:294:13)
    at WebContents.emit (events.js:182:13)

    at metaToException (/snap/atom/238/usr/share/atom/resources/electron.asar/renderer/api/remote.js:271:17)
    at Object.exception (/snap/atom/238/usr/share/atom/resources/electron.asar/renderer/api/remote.js:219:30)
    at metaToValue (/snap/atom/238/usr/share/atom/resources/electron.asar/renderer/api/remote.js:223:28)
    at Object.remoteMemberFunction (/snap/atom/238/usr/share/atom/resources/electron.asar/renderer/api/remote.js:123:16)
    at AtomEnvironment.getWindowDimensions (/snap/atom/238/usr/share/atom/resources/app/static/<embedded>:1:705395)
    at AtomEnvironment.storeWindowDimensions (/snap/atom/238/usr/share/atom/resources/app/static/<embedded>:1:705810)
    at WindowEventHandler.handleWindowBlur (/snap/atom/238/usr/share/atom/resources/app/static/<embedded>:11:285354)
```

### Commands

```
  2x -5:54.6.0 core:move-down (input.hidden-input)
  7x -5:54 core:move-left (input.hidden-input)
     -5:50.6.0 core:move-down (input.hidden-input)
  7x -5:50.4.0 core:move-left (input.hidden-input)
     -5:46.8.0 core:save (input.hidden-input)
 20x -5:14.6.0 core:backspace (input.hidden-input)
     -4:56.3.0 core:save (input.hidden-input)
  2x -4:06.0 core:move-left (input.hidden-input)
     -3:53.3.0 atom-beautify:beautify-editor (input.hidden-input)
  4x -3:52.7.0 core:save (input.hidden-input)
     -2:13.9.0 core:move-left (input.hidden-input)
     -2:12.7.0 core:backspace (input.hidden-input)
     -2:11 core:save (input.hidden-input)
     -1:50.5.0 core:undo (input.hidden-input)
  3x -1:49.1.0 core:copy (input.hidden-input)
     -0:29 core:save (input.hidden-input)
```

### Non-Core Packages

```
activate-power-mode 2.7.0 
ask-stack 2.2.0 
atom-beautify 0.33.4 
atom-jinja2 0.6.0 
autocomplete-python 1.16.0 
browser-plus 0.0.98 
color-picker 2.3.0 
emmet 2.4.3 
file-icons 2.1.35 
git-plus 8.7.1 
kite 0.171.0 
minimap 4.29.9 
platformio-ide-terminal 2.9.4 
pp 0.0.1 
preview-plus 1.2.7 
script 3.18.1 
todo 0.6.0 
```

"
Automatically rename untitled tabs,"<!--

Have you read Atom's Code of Conduct? By filing an Issue, you are expected to comply with it, including treating everyone with respect: https://github.com/atom/.github/blob/master/CODE_OF_CONDUCT.md

Do you want to ask a question? Are you looking for support? The Atom message board is the best place for getting support: https://discuss.atom.io

---

Keep in mind that Atom is highly customizable in a number of ways and we strongly prefer that you consider these options before filing this issue:

* https://flight-manual.atom.io/using-atom/sections/basic-customization/: tweak Atom's configuration, styles, and keybindings.
* https://flight-manual.atom.io/using-atom/sections/atom-packages/: install a community package.
* https://flight-manual.atom.io/hacking-atom/: use the Atom API in your init script, to create a package, or to enhance an existing package.

If you're convinced that none of these options are appropriate for the feature you want, please explain why that's the case by completely filling out the issue template below.

Also note that the Atom team has finite resources so it's unlikely that we'll work on feature requests. If we're interested in a particular feature however, we'll follow up and ask you to submit an RFC to talk about it in more detail.

-->

## Summary

<!-- One paragraph explanation of the feature. -->

Hi, i was Sublime's user, and now i'm using Atom as my main editor. I would like to suggest a feature like Sublime's, the editor will automatically rename untitled (unsaved) tabs.

## Motivation

<!-- Why are we doing this? What use cases does it support? What is the expected outcome? -->

This feature actually helps people who like writing down notes a lot, easier to organize and find their notes in their editor based on beginning words to be set as tab title like below.

![095](https://user-images.githubusercontent.com/25204246/65382456-f7141280-dd2f-11e9-9e74-9d31ff98caf7.png)


## Describe alternatives you've considered

<!-- A clear and concise description of the alternative solutions you've considered. Be sure to explain why Atom's existing customizability isn't suitable for this feature. -->

## Additional context

<!-- Add any other context or screenshots about the feature request here. -->
"
Uncaught Error: Cannot call function 'getPosition' on missing remote object 241Error: Cannot cal...,"[Enter steps to reproduce:]

1. ...
2. ...

**Atom**: 1.40.1 x64
**Electron**: 3.1.10
**OS**: Microsoft Windows 10 Pro
**Thrown From**: Atom Core


### Stack Trace

Uncaught Error: Cannot call function 'getPosition' on missing remote object 241
Error: Cannot call function 'getPosition' on missing remote object 241
    at throwRPCError (C:\Users\mohd. Shoaib\AppData\Local\atom\app-1.40.1\resources\electron.asar\browser\rpc-server.js:145:17)
    at EventEmitter.<anonymous> (C:\Users\mohd. Shoaib\AppData\Local\atom\app-1.40.1\resources\electron.asar\browser\rpc-server.js:367:7)
    at EventEmitter.emit (events.js:182:13)
    at WebContents.<anonymous> (C:\Users\mohd. Shoaib\AppData\Local\atom\app-1.40.1\resources\electron.asar\browser\api\web-contents.js:294:13)
    at WebContents.emit (events.js:182:13)


```
At C:\Users\mohd. Shoaib\AppData\Local\atom\app-1.40.1\resources\electron.asar\renderer\api\remote.js:219

Error: Cannot call function 'getPosition' on missing remote object 241
Error: Cannot call function 'getPosition' on missing remote object 241
    at throwRPCError (~/AppData/Local/atom/app-1.40.1/resources/electron.asar/browser/rpc-server.js:145:17)
    at EventEmitter.<anonymous> (~/AppData/Local/atom/app-1.40.1/resources/electron.asar/browser/rpc-server.js:367:7)
    at EventEmitter.emit (events.js:182:13)
    at WebContents.<anonymous> (~/AppData/Local/atom/app-1.40.1/resources/electron.asar/browser/api/web-contents.js:294:13)
    at WebContents.emit (events.js:182:13)

    at metaToException (~/AppData/Local/atom/app-1.40.1/resources/electron.asar/renderer/api/remote.js:271:17)
    at Object.exception (~/AppData/Local/atom/app-1.40.1/resources/electron.asar/renderer/api/remote.js:219:30)
    at metaToValue (~/AppData/Local/atom/app-1.40.1/resources/electron.asar/renderer/api/remote.js:223:28)
    at Object.remoteMemberFunction (~/AppData/Local/atom/app-1.40.1/resources/electron.asar/renderer/api/remote.js:123:16)
    at AtomEnvironment.getWindowDimensions (~/AppData/Local/atom/app-1.40.1/resources/app/static/<embedded>:1:731570)
    at AtomEnvironment.storeWindowDimensions (~/AppData/Local/atom/app-1.40.1/resources/app/static/<embedded>:1:731985)
    at WindowEventHandler.handleWindowBlur (~/AppData/Local/atom/app-1.40.1/resources/app/static/<embedded>:11:285354)
```

### Commands

```
  4x -3:27.4.0 core:move-left (input.hidden-input)
  4x -3:25.2.0 core:backspace (input.hidden-input)
  3x -3:08.3.0 core:move-right (input.hidden-input)
  2x -3:07.6.0 core:backspace (input.hidden-input)
     -3:07.2.0 core:delete (input.hidden-input)
  2x -2:46 core:move-left (input.hidden-input)
  2x -2:44.6.0 core:move-right (input.hidden-input)
     -2:43.8.0 core:move-down (input.hidden-input)
 20x -2:43.4.0 core:move-right (input.hidden-input)
  2x -2:39.6.0 core:move-left (input.hidden-input)
     -2:39.2.0 core:move-up (input.hidden-input)
  2x -2:39.1.0 core:move-left (input.hidden-input)
     -2:29.9.0 find-and-replace:select-next (input.hidden-input)
     -2:28 core:save (input.hidden-input)
  2x -1:29.9.0 editor:newline (input.hidden-input)
     -0:33.1.0 core:paste (input.hidden-input)
```

### Non-Core Packages

```
atom-live-server 2.3.0 
city-lights-ui 1.5.3 
emmet 2.4.3 
file-icons 2.1.31 
pigments 0.40.2 
script 3.18.1 
```

"
Scroll past end option won't go out,"### Prerequisites

* [X] Put an X between the brackets on this line if you have done all of the following:
    * Reproduced the problem in Safe Mode: <https://flight-manual.atom.io/hacking-atom/sections/debugging/#using-safe-mode>
    * Followed all applicable steps in the debugging guide: <https://flight-manual.atom.io/hacking-atom/sections/debugging/>
    * Checked the FAQs on the message board for common solutions: <https://discuss.atom.io/c/faq>
    * Checked that your issue isn't already filed: <https://github.com/issues?utf8=✓&q=is%3Aissue+user%3Aatom>
    * Checked that there is not already an Atom package that provides the described functionality: <https://atom.io/packages>

### Description

I turned on the option to Scroll past the end of my files and now it won't go off.
I even reinstalled atom from scratch and the issue was still there.

### Versions

Atom    : 1.40.1
Electron: 3.1.10
Chrome  : 66.0.3359.181
Node    : 10.2.0

Windows 10"
Undo/redo leaks memory,"<!--

Have you read Atom's Code of Conduct? By filing an Issue, you are expected to comply with it, including treating everyone with respect: https://github.com/atom/.github/blob/master/CODE_OF_CONDUCT.md

Do you want to ask a question? Are you looking for support? The Atom message board is the best place for getting support: https://discuss.atom.io

-->

### Prerequisites

* [x] Put an X between the brackets on this line if you have done all of the following:
    * Reproduced the problem in Safe Mode: <https://flight-manual.atom.io/hacking-atom/sections/debugging/#using-safe-mode>
    * Followed all applicable steps in the debugging guide: <https://flight-manual.atom.io/hacking-atom/sections/debugging/>
    * Checked the FAQs on the message board for common solutions: <https://discuss.atom.io/c/faq>
    * Checked that your issue isn't already filed: <https://github.com/issues?utf8=✓&q=is%3Aissue+user%3Aatom>
    * Checked that there is not already an Atom package that provides the described functionality: <https://atom.io/packages>

### Description

<!-- Description of the issue -->

When using the editor over longer periods of time (like over the duration of a few days), doing various undoable actions, I'll sometimes build up upwards of 1GB of memory used, almost always related to undo/redo. This occurs even when all I'm doing is dealing with Markdown files. I have no community package that affects autocomplete or anything related besides syntax highlighting in Markdown files.

Killing ""Atom Helper"" to kill the window process and then restarting that process fixes the memory leak.

<details>
<summary>Here's a list of packages I have enabled:</summary>

- atom-beautify@0.33.4
- auto-detect-indentation@1.3.0
- autocomplete-paths@2.12.2
- autocomplete-racer@0.1.3
- build-cargo@2.0.0
- busy-signal@2.0.1
- color-picker@2.3.0
- docblockr@0.13.7
- editorconfig@2.5.0
- file-icons@2.1.35
- git-plus@8.7.1
- intentions@1.1.5
- language-babel@2.85.0
- language-batch@0.4.0
- language-elixir@0.22.1
- language-erlang@3.2.0
- language-haskell@1.19.1
- language-kotlin@0.5.0
- language-livescript@0.0.3
- language-lua@0.9.11
- language-ocaml@1.9.5
- language-pegjs@0.5.0
- language-pug@0.0.22
- language-rust@0.4.12
- language-scala@1.1.10
- language-stylus@0.2.0
- language-vue@0.25.0
- language-webassembly@1.0.1
- language-x86-64-assembly@2.2.11
- linter@2.3.1
- linter-eslint@8.5.5
- linter-shellcheck@1.6.0
- linter-tslint@1.10.28
- linter-ui-default@1.8.0
- minimap@4.29.9
- minimap-cursorline@0.2.0
- minimap-git-diff@4.3.1
- minimap-linter@2.2.1
- project-manager@3.3.7
- sort-lines@0.19.0
- sync-settings@0.8.6

As you can see, none of these should affect Markdown. I've already disabled most of the worst offenders.
</details>

In a prior version (1.36 IIRC), I've verified this in safe mode, and the symptom has persisted ever since.

### Steps to Reproduce

1. Open a file, even a text file
2. Make thousands of edits to it, optionally saving.
3. Close the file.

It takes long enough it's not a quick repro. It's also why I haven't repro'd it in safe mode recently - I *really* don't feel like spending well over a day in safe mode just waiting on it to build up.

**Expected behavior:**

<!-- What you expect to happen -->
Memory usage to remain reasonable.

**Actual behavior:**

<!-- What actually happens -->
Memory usage grows up to 500MB-1GB range, and doesn't release on close.

**Reproduces how often:**

<!-- What percentage of the time does it reproduce? -->
100% of the time for me. I literally have been keeping Activity Monitor up just to periodically kill it to reclaim the memory leaked.

### Versions

<!-- You can get this information from copy and pasting the output of `atom --version` and `apm --version` from the command line. Also, please include the OS and what version of the OS you're running. -->

```
$ atom --version
Atom    : 1.40.1
Electron: 3.1.10
Chrome  : 66.0.3359.181
Node    : 10.2.0

$ apm --version
apm  2.4.3
npm  6.2.0
node 10.2.1 x64
atom 1.40.1
python 2.7.10
git 2.17.2
```

I've reproduced this in safe mode around 1.36, although I haven't tried since.

My OS is macOS High Sierra 10.13.6, 64-bit.

### Additional Information

<!-- Any additional information, configuration or data that might be necessary to reproduce the issue. -->

Recently, I've been suffering OS crashes and performance issues, likely due to something Chromium-related, but I've not had the time to debug that. This has turned my OOM crashes of Atom to OOM kernel panics, but the basic symptom is the same. I know it's likely separate since opening a new second window freezes my machine 50% of the time, 90% if I have a second browser window open. Also, startup time has become absolutely atrocious now, in the 2-3 minute range for just the limited set of plugins I've listed above. But I do feel this has *some* limited relevance to this bug, hence why I listed it."
Unable to install packages with a postinstall script with apm,"### Prerequisites

* [X] Put an X between the brackets on this line if you have done all of the following:
    * ~~Reproduced the problem in Safe Mode: <https://flight-manual.atom.io/hacking-atom/sections/debugging/#using-safe-mode>~~ (not applicable)
    * Followed all applicable steps in the debugging guide: <https://flight-manual.atom.io/hacking-atom/sections/debugging/> (`apm install --check` -> `Checking for native build tools ✓`)
    * Checked the FAQs on the message board for common solutions: <https://discuss.atom.io/c/faq>
    * Checked that your issue isn't already filed: <https://github.com/issues?utf8=✓&q=is%3Aissue+user%3Aatom>
    * ~~Checked that there is not already an Atom package that provides the described functionality: <https://atom.io/packages>~~ (not applicable)

### Description

Installing a package like `hydrogen` or `ink` (which both have a postinstall script) with `apm` fails with
```
➜  ~ grep -E ""(warn|error)"" /home/coroa/.atom/.apm/_logs/2019-09-03T08_20_10_064Z-debug.log
2173 warn enoent ENOENT: no such file or directory, open '/tmp/apm-install-dir-11983-23670-1efcohp.qn82/package.json'
2175 warn apm-install-dir-11983-23670-1efcohp.qn82 No description
2176 warn apm-install-dir-11983-23670-1efcohp.qn82 No repository field.
2177 warn apm-install-dir-11983-23670-1efcohp.qn82 No README data
2178 warn apm-install-dir-11983-23670-1efcohp.qn82 No license field.
2186 error code ELIFECYCLE
2187 error errno 134
2188 error ink@0.10.12 postinstall: `node scripts/postinstall.js`
2188 error Exit status 134
2189 error Failed at the ink@0.10.12 postinstall script.
2189 error This is probably not a problem with npm. There is likely additional logging output above.
```

Attached you find the logfile for the run by `apm-beta install ink` after removing `~/.atom` to start from a clean slate: 
[2019-09-03T08_20_10_064Z-debug.log](https://github.com/atom/atom/files/3568558/2019-09-03T08_20_10_064Z-debug.log)

I am at a loss on how to proceed? Any pointers on how to debug this further?

### Versions

Same behaviour on latest stable (1.41.0) and beta (1.14.0-beta1) Debian packages (running on a Debian sid).

```shell
➜  ~ apm-beta --version
apm  2.4.3
npm  6.2.0
node 10.2.1 x64
atom 1.41.0-beta1
python 2.7.16+
git 2.23.0
```
"
